,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,Jordan Bell,C,6-8,216,1995-01-07,US,1,Oregon
1,12,Andrew Bogut,C,7-0,260,1984-11-28,AU,13,Utah
2,4,Quinn Cook,PG,6-1,180,1993-03-23,US,2,Duke
3,0,DeMarcus Cousins,C,6-10,270,1990-08-13,US,8,Kentucky
4,30,Stephen Curry,PG,6-2,185,1988-03-14,US,9,Davidson
5,32,Marcus Derrickson,PF,6-7,249,1996-02-01,US,R,Georgetown
6,35,Kevin Durant,SF,6-10,240,1988-09-29,US,11,Texas
7,10,Jacob Evans,SG,6-4,210,1997-06-18,US,R,Cincinnati
8,23,Draymond Green,PF,6-6,230,1990-03-04,US,6,Michigan State
9,9,Andre Iguodala,SF,6-6,215,1984-01-28,US,14,Arizona
10,21,Jonas Jerebko,PF,6-10,231,1987-03-02,SE,8,
11,15,Damian Jones,C,6-11,245,1995-06-30,US,2,Vanderbilt
12,1,Damion Lee,SG,6-5,210,1992-10-21,US,1,"Drexel, Louisville"
13,34,Shaun Livingston,PG,6-7,192,1985-09-11,US,13,
14,5,Kevon Looney,C,6-9,222,1996-02-06,US,3,UCLA
15,28,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,1,Green Bay
16,11,Klay Thompson,SG,6-6,215,1990-02-08,US,7,Washington State
