,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,21,Jimmy Butler,SF,6-7,230,1989-09-14,US,5,Marquette
1,0,Isaiah Canaan,SG,6-0,201,1991-05-21,US,3,Murray State
2,7,Michael Carter-Williams,PG,6-5,190,1991-10-10,US,3,Syracuse
3,6,Cristiano Felício,C,6-11,270,1992-07-07,BR,1,
4,22,Taj Gibson,PF,6-9,232,1985-06-24,US,7,USC
5,2,Jerian Grant,PG,6-4,205,1992-10-09,US,1,Notre Dame
6,31,R.J. Hunter,SG,6-5,185,1993-10-24,US,1,Georgia State University
7,77,Joffrey Lauvergne,C,6-11,220,1991-09-30,FR,2,
8,8,Robin Lopez,C,7-0,281,1988-04-01,US,8,Stanford
9,11,Doug McDermott,SF,6-7,225,1992-01-03,US,2,Creighton
10,44,Nikola Mirotić,PF,6-10,250,1991-02-11,ME,2,
11,11,Anthony Morrow,SG,6-5,210,1985-09-27,US,8,Georgia Tech
12,22,Cameron Payne,PG,6-1,183,1994-08-08,US,1,Murray State
13,5,Bobby Portis,PF,6-10,250,1995-02-10,US,1,Arkansas
14,9,Rajon Rondo,PG,6-1,180,1986-02-22,US,10,Kentucky
15,45,Denzel Valentine,SG,6-4,220,1993-11-16,US,R,Michigan State
16,3,Dwyane Wade,SG,6-4,220,1982-01-17,US,13,Marquette
17,16,Paul Zipser,SF,6-8,215,1994-02-18,DE,R,
