,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,LaMelo Ball,PG,6-7,180,2001-08-22,US,R,
1,8,Bismack Biyombo,C,6-8,255,1992-08-28,CD,9,
2,0,Miles Bridges,PF,6-6,225,1998-03-21,US,2,Michigan State
3,22,Vernon Carey Jr.,C,6-9,270,2001-02-25,US,R,Duke
4,30,Nate Darling,SG,6-6,200,1998-08-30,CA,R,"UAB, University of Delaware"
5,4,Devonte' Graham,PG,6-1,195,1995-02-22,US,2,Kansas
6,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,10,Butler
7,10,Caleb Martin,SF,6-5,205,1995-09-28,US,1,"NC State, Nevada"
8,11,Cody Martin,SF,6-5,205,1995-09-28,US,1,"NC State, Nevada"
9,6,Jalen McDaniels,SF,6-9,205,1998-01-31,US,1,San Diego State
10,1,Malik Monk,SG,6-3,200,1998-02-04,US,3,Kentucky
11,14,Nick Richards,PF,7-0,245,1997-11-29,JM,R,Kentucky
12,7,Grant Riller,PG,6-2,190,1997-02-08,US,R,College of Charleston
13,3,Terry Rozier,SG,6-1,190,1994-03-17,US,5,Louisville
14,9,Brad Wanamaker,PG,6-3,210,1989-07-25,US,2,Pitt
15,25,P.J. Washington,PF,6-7,230,1998-08-23,US,1,Kentucky
16,40,Cody Zeller,C,6-11,240,1992-10-05,US,7,Indiana
