,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Jevon Carter,PG,6-1,200,1995-09-14,US,4,West Virginia
1,11,Brook Lopez,C,7-0,282,1988-04-01,US,14,Stanford
2,12,Grayson Allen,SG,6-4,198,1995-10-08,US,4,Duke
3,9,Bobby Portis,PF,6-10,250,1995-02-10,US,7,Arkansas
4,21,Jrue Holiday,PG,6-3,205,1990-06-12,US,13,UCLA
5,34,Giannis Antetokounmpo,PF,7-0,242,1994-12-06,GR,9,
6,24,Pat Connaughton,SG,6-5,209,1993-01-06,US,7,Notre Dame
7,0,MarJon Beauchamp,SF,6-6,199,2000-10-12,US,R,Yakima Valley Community College
8,23,Wesley Matthews,SG,6-4,220,1986-10-14,US,13,Marquette
9,7,Joe Ingles,SF,6-8,220,1987-10-02,AU,8,
10,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,4,
11,20,A.J. Green (TW),SG,6-4,200,1999-09-27,US,R,University of Northern Iowa
12,22,Khris Middleton,SF,6-7,222,1991-08-12,US,10,Texas A&M
13,99,Jae Crowder,SF,6-6,235,1990-07-06,US,10,Marquette
14,3,Meyers Leonard,C,7-0,260,1992-02-27,US,9,Illinois
15,28,Lindell Wigginton (TW),PG,6-2,189,1998-03-28,CA,1,Iowa State
16,31,Goran Dragić,PG,6-3,190,1986-05-06,SI,14,
