,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,20,Georges Niang,PF,6-7,230,1993-06-17,US,6,Iowa State
1,8,De'Anthony Melton,PG,6-2,200,1998-05-28,US,4,USC
2,18,Shake Milton,SG,6-5,205,1996-09-26,US,4,SMU
3,17,P.J. Tucker,PF,6-5,245,1985-05-05,US,11,Texas
4,12,Tobias Harris,PF,6-8,226,1992-07-15,US,11,Tennessee
5,44,Paul Reed,C,6-9,210,1999-06-14,US,2,DePaul
6,21,Joel Embiid,C,7-0,280,1994-03-16,CM,6,Kansas
7,0,Tyrese Maxey,SG,6-2,200,2000-11-04,US,2,Kentucky
8,1,James Harden,PG,6-5,220,1989-08-26,US,13,Arizona State
9,5,Montrezl Harrell,C,6-7,240,1994-01-26,US,7,Louisville
10,25,Danuel House Jr.,SF,6-6,220,1993-06-07,US,6,Texas A&M
11,30,Furkan Korkmaz,SG,6-7,202,1997-07-24,TR,5,
12,7,Jalen McDaniels,SF,6-9,205,1998-01-31,US,3,San Diego State
13,11,Jaden Springer,SG,6-4,204,2002-09-25,US,1,Tennessee
14,14,Dewayne Dedmon,C,7-0,245,1989-08-12,US,9,USC
15,9,Mac McClung (TW),SG,6-2,185,1999-01-06,US,1,"Georgetown, Texas Tech"
16,23,Louis King (TW),SF,6-7,205,1999-04-06,US,3,Oregon
