,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,21,LaMarcus Aldridge,C,6-11,250,1985-07-19,US,14,Texas
1,31,Jarrett Allen,C,6-11,243,1998-04-21,US,3,Texas
2,1,Bruce Brown,PG,6-4,202,1996-08-15,US,2,Miami (FL)
3,4,Chris Chiozza,PG,5-11,175,1995-11-21,US,2,Florida
4,33,Nic Claxton,C,6-11,215,1999-04-17,US,1,Georgia
5,2,Tyler Cook,PF,6-8,255,1997-09-23,US,1,Iowa
6,26,Spencer Dinwiddie,SG,6-5,215,1993-04-06,US,6,Colorado
7,7,Kevin Durant,PF,6-10,240,1988-09-29,US,12,Texas
8,8,Jeff Green,PF,6-8,235,1986-08-28,US,12,Georgetown
9,2,Blake Griffin,PF,6-9,250,1989-03-16,US,10,Oklahoma
10,13,James Harden,PG,6-5,220,1989-08-26,US,11,Arizona State
11,12,Joe Harris,SF,6-6,220,1991-09-06,US,6,Virginia
12,11,Kyrie Irving,PG,6-2,195,1992-03-23,AU,9,Duke
13,55,Mike James,PG,6-1,189,1990-08-18,US,1,Lamar
14,24,Alize Johnson,PF,6-7,212,1996-04-22,US,2,Missouri State
15,10,Tyler Johnson,SG,6-3,186,1992-05-07,US,6,Fresno State
16,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,12,Texas A&M
17,00,Rodions Kurucs,PF,6-9,228,1998-02-05,LV,2,
18,22,Caris LeVert,SG,6-6,205,1994-08-25,US,4,Michigan
19,9,Timothé Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,4,
20,14,Norvel Pelle,C,6-10,231,1993-02-03,AG,1,
21,"0, 14",Reggie Perry,PF,6-8,250,2000-03-21,US,R,Mississippi State
22,2,Taurean Prince,PF,6-7,218,1994-03-22,US,4,Baylor
23,22,Andre Roberson,SG,6-7,210,1991-12-04,US,6,Colorado
24,"13, 20",Landry Shamet,SG,6-4,190,1997-03-13,US,2,Wichita State
25,21,Iman Shumpert,SG,6-5,215,1990-06-26,US,9,Georgia Tech
26,24,Noah Vonleh,C,6-10,257,1995-08-24,US,6,Indiana
