,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,0,Torrey Craig,SF,6-7,221,1990-12-19,US,5,USC Upstate
1,10,Damion Lee,SG,6-5,210,1992-10-21,US,5,"Drexel, Louisville"
2,2,Josh Okogie,SG,6-4,213,1998-09-01,NG,4,Georgia Tech
3,11,Jock Landale,C,6-11,256,1995-10-25,AU,1,Saint Mary's
4,22,Deandre Ayton,C,6-11,250,1998-07-23,BS,4,Arizona
5,18,Bismack Biyombo,C,6-8,255,1992-08-28,CD,11,
6,12,Ish Wainright,SF,6-6,250,1994-09-12,US,1,Baylor
7,3,Chris Paul,PG,6-0,175,1985-05-06,US,17,Wake Forest
8,1,Devin Booker,SG,6-5,206,1996-10-30,US,7,Kentucky
9,15,Cameron Payne,PG,6-1,183,1994-08-08,US,7,Murray State
10,14,Landry Shamet,SG,6-4,190,1997-03-13,US,4,Wichita State
11,38,Saben Lee (TW),PG,6-2,183,1999-06-23,US,2,Vanderbilt
12,8,Terrence Ross,SG,6-6,206,1991-02-05,US,10,Washington
13,21,T.J. Warren,SF,6-8,220,1993-09-05,US,7,NC State
14,35,Kevin Durant,SF,6-10,240,1988-09-29,US,14,Texas
15,55,Darius Bazley,PF,6-8,208,2000-06-12,US,3,
