,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Cat Barber,PG,6-2,190,1994-07-25,US,R,NC State
1,13,Bogdan Bogdanović,SG,6-6,220,1992-08-18,RS,4,
2,45,Chaundee Brown Jr.,SG,6-5,215,1998-12-04,US,R,"Wake Forest, Michigan"
3,15,Clint Capela,C,6-10,240,1994-05-18,CH,7,
4,20,John Collins,PF,6-9,235,1997-09-23,US,4,Wake Forest
5,2,Sharife Cooper,PG,6-1,180,2001-06-11,US,R,Auburn
6,10,Gorgui Dieng,C,6-10,252,1990-01-18,SN,8,Louisville
7,8,Danilo Gallinari,PF,6-10,233,1988-08-08,IT,12,
8,14,Malcolm Hill,SG,6-6,220,1995-10-26,US,R,Illinois
9,18,Solomon Hill,SF,6-6,226,1991-03-18,US,8,Arizona
10,3,Kevin Huerter,SF,6-7,190,1998-08-27,US,3,Maryland
11,12,De'Andre Hunter,SF,6-8,225,1997-12-02,US,2,Virginia
12,24,Wes Iwundu,SF,6-6,195,1994-12-20,US,4,Kansas State
13,1,Jalen Johnson,PF,6-9,220,2001-12-18,US,R,Duke
14,5,Kevin Knox,SF,6-7,215,1999-08-11,US,3,Kentucky
15,7,Timothé Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,5,
16,4,Skylar Mays,SG,6-4,205,1997-09-05,US,1,LSU
17,17,Onyeka Okongwu,C,6-8,235,2000-12-11,US,1,USC
18,49,Cameron Oliver,SF,6-8,239,1996-07-11,US,1,Nevada
19,22,Cam Reddish,SF,6-8,218,1999-09-01,US,2,Duke
20,33,Lance Stephenson,SG,6-6,230,1990-09-05,US,9,Cincinnati
21,6,Lou Williams,PG,6-1,175,1986-10-27,US,16,
22,0,Delon Wright,SG,6-5,185,1992-04-26,US,6,Utah
23,11,Trae Young,PG,6-1,164,1998-09-19,US,3,Oklahoma
