,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Precious Achiuwa,C,6-8,225,1999-09-19,NG,1,Memphis
1,3,OG Anunoby,SF,6-7,232,1997-07-17,GB,4,Indiana
2,45,Dalano Banton,PG,6-9,204,1999-11-07,CA,R,Nebraska
3,4,Scottie Barnes,PF,6-9,227,2001-08-01,US,R,Florida State
4,24,Khem Birch,C,6-9,233,1992-09-28,CA,4,"Pitt, UNLV"
5,17,Isaac Bonga,SF,6-8,180,1999-11-08,DE,3,
6,25,Chris Boucher,SF,6-9,200,1993-01-11,LC,4,Oregon
7,1,Armoni Brooks,PG,6-3,195,1998-06-05,US,1,Houston
8,11,Justin Champagnie,SF,6-6,200,2001-06-29,US,R,Pitt
9,8,Sam Dekker,PF,6-9,230,1994-05-06,US,4,Wisconsin
10,1,Goran Dragić,PG,6-3,190,1986-05-06,SI,13,
11,22,Malachi Flynn,PG,6-1,175,1998-05-10,US,1,"Washington State, San Diego State"
12,13,David Johnson,SG,6-5,210,2001-02-26,US,R,Louisville
13,16,Juwan Morgan,PF,6-7,232,1997-04-17,US,2,Indiana
14,14,Svi Mykhailiuk,SF,6-7,205,1997-06-10,UA,3,Kansas
15,20,Daniel Oturu,C,6-8,240,1999-09-20,US,1,Minnesota
16,43,Pascal Siakam,PF,6-9,230,1994-04-02,CM,5,New Mexico State
17,33,Gary Trent Jr.,SG,6-5,209,1999-01-18,US,3,Duke
18,23,Fred VanVleet,PG,6-1,197,1994-02-25,US,5,Wichita State
19,18,Yuta Watanabe,SF,6-9,215,1994-10-13,JP,3,George Washington
20,51,Tremont Waters,PG,5-10,175,1998-01-10,US,2,LSU
21,9,D.J. Wilson,PF,6-10,231,1996-02-19,US,4,Michigan
22,21,Thaddeus Young,PF,6-8,235,1988-06-21,US,14,Georgia Tech
