,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
0,CHI_1991,26.9,61.0,21.0,63,19,9.1,-0.53,8.57,114.6,105.2,9.4,95.6,0.296,0.06,0.56,0.521,12.8,34.7,0.225,0.488,15.3,68.8,0.226,,82,19755,46.1,90.5,0.51,2.0,5.4,0.366,44.2,85.1,0.519,20.4,26.8,0.76,14.6,29.8,44.3,28.1,10.4,5.6,15.0,22.2,114.6,82,19830,40.1,89.5,0.448,2.7,8.6,0.31,37.4,80.9,0.463,20.4,26.9,0.761,13.8,27.9,41.6,23.7,9.8,5.4,15.5,24.7,103.3
1,POR_1991,27.9,63.0,19.0,62,20,8.68,-0.21,8.47,112.8,104.3,8.5,100.5,0.344,0.123,0.554,0.509,13.4,33.8,0.259,0.473,14.4,70.4,0.25,12884.0,82,19905,42.9,88.4,0.485,4.1,10.8,0.377,38.8,77.5,0.501,22.9,30.4,0.753,14.4,30.7,45.1,27.0,8.7,4.9,15.7,23.7,112.8,82,19855,41.0,89.8,0.456,2.2,7.6,0.295,38.7,82.2,0.471,19.7,25.6,0.771,15.2,29.8,45.1,24.1,8.7,4.4,17.4,21.9,103.9
2,LAL_1991,28.4,58.0,24.0,59,23,6.74,-0.01,6.73,112.1,105.0,7.1,94.1,0.327,0.108,0.551,0.5,13.2,33.0,0.261,0.474,12.8,68.3,0.176,17505.0,82,19805,45.5,88.8,0.512,1.3,4.3,0.315,44.1,84.5,0.522,20.3,24.6,0.824,13.4,33.2,46.6,26.6,8.3,7.0,16.2,20.9,112.6,82,19905,39.8,87.3,0.456,2.8,8.8,0.323,37.0,78.5,0.471,21.8,28.1,0.777,12.9,28.2,41.2,24.6,7.6,4.2,16.8,24.9,104.3
3,PHO_1991,26.9,55.0,27.0,57,25,6.55,-0.06,6.49,112.6,106.1,6.5,101.0,0.372,0.06,0.558,0.506,13.5,33.0,0.287,0.474,13.1,68.5,0.227,,82,19730,43.0,86.7,0.496,1.7,5.2,0.319,41.4,81.5,0.508,24.9,32.3,0.77,13.6,31.3,44.9,26.6,8.3,6.4,15.7,22.3,112.6,82,19805,40.3,88.9,0.453,2.1,6.6,0.312,38.2,82.3,0.464,22.1,28.7,0.77,13.2,30.0,43.2,22.9,7.7,3.8,14.9,26.2,104.6
4,BOS_1991,28.2,56.0,26.0,56,26,5.82,-0.6,5.22,112.6,106.7,5.9,98.5,0.277,0.048,0.565,0.52,14.0,33.0,0.228,0.465,11.7,69.3,0.217,,82,19830,43.0,88.9,0.484,2.9,9.6,0.304,40.1,79.3,0.505,23.2,29.1,0.798,13.9,31.4,45.2,26.9,8.3,4.9,15.5,19.6,112.1,82,19830,43.1,93.4,0.462,2.3,7.4,0.311,40.8,86.0,0.475,16.4,21.9,0.752,14.5,28.1,42.7,25.7,8.6,4.3,15.1,23.4,105.0
5,SAS_1991,26.0,55.0,27.0,53,29,4.51,-0.21,4.3,107.8,103.3,4.5,98.6,0.352,0.043,0.544,0.494,15.2,33.3,0.269,0.463,13.2,70.3,0.228,,82,19805,41.7,85.9,0.485,3.2,9.4,0.337,38.6,76.6,0.504,25.3,32.3,0.783,13.0,27.0,40.0,22.9,9.4,4.4,15.9,25.8,111.9,82,19780,41.0,89.3,0.459,2.6,8.5,0.307,38.4,80.8,0.475,20.6,26.6,0.773,14.0,29.0,43.0,23.7,8.7,5.2,16.0,25.4,105.1
6,DET_1991,30.5,50.0,32.0,50,32,3.27,-0.19,3.08,108.2,104.6,3.6,91.9,0.322,0.064,0.523,0.474,13.1,34.7,0.245,0.464,12.8,71.0,0.248,,82,19805,42.1,85.3,0.493,3.0,9.1,0.332,39.0,76.2,0.513,24.5,30.2,0.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7,82,19755,41.5,87.5,0.475,2.4,8.0,0.304,39.1,79.5,0.492,19.7,25.6,0.77,13.5,27.5,41.0,25.6,8.0,4.4,17.8,23.2,105.2
7,UTA_1991,28.7,54.0,28.0,50,32,3.33,-0.15,3.18,108.6,105.1,3.5,95.3,0.378,0.07,0.559,0.503,14.6,27.6,0.298,0.473,13.7,69.2,0.23,,82,19755,41.3,89.0,0.464,3.3,10.3,0.324,37.9,78.7,0.482,25.1,31.3,0.8,15.2,29.8,45.0,23.0,9.0,4.6,15.2,21.8,110.9,82,19730,41.7,90.3,0.462,2.2,7.0,0.312,39.5,83.3,0.474,20.5,27.0,0.76,14.4,27.7,42.1,23.7,8.2,5.6,15.4,24.8,106.1
8,HOU_1991,27.3,52.0,30.0,50,32,3.5,-0.23,3.27,107.4,103.9,3.5,98.5,0.302,0.136,0.53,0.489,14.5,34.4,0.224,0.469,14.7,66.9,0.22,,82,19855,42.0,87.4,0.48,3.2,9.5,0.341,38.7,77.9,0.497,22.6,28.2,0.801,13.6,27.2,40.8,26.1,11.2,4.1,16.6,25.6,109.7,82,19805,40.5,86.8,0.467,2.4,7.2,0.336,38.1,79.6,0.478,23.1,30.7,0.752,13.5,30.3,43.8,24.0,9.4,6.0,16.0,22.9,106.5
9,MIL_1991,29.3,48.0,34.0,48,34,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.323,0.108,0.55,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.259,,82,19880,43.9,89.3,0.492,1.7,5.4,0.319,42.2,84.0,0.503,20.2,26.9,0.75,15.3,27.3,42.6,25.6,10.8,4.8,17.6,24.8,109.7,82,19805,42.1,93.0,0.452,2.4,7.5,0.313,39.7,85.5,0.465,20.2,25.6,0.786,14.7,27.1,41.8,25.3,9.1,4.7,13.9,20.4,106.7
