,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,Tyler Bey,SF,6-7,215,1998-02-10,US,R,Colorado
1,13,Jalen Brunson,PG,6-1,190,1996-08-31,US,2,Villanova
2,3,Trey Burke,PG,6-0,185,1992-11-12,US,7,Michigan
3,33,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,5,Kentucky
4,77,Luka Dončić,PG,6-7,230,1999-02-28,SI,2,
5,10,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US,4,Florida
6,8,Josh Green,SG,6-5,200,2000-11-16,AU,R,Arizona
7,11,Tim Hardaway Jr.,SG,6-5,205,1992-03-16,US,7,Michigan
8,14,Nate Hinton,SG,6-5,210,1999-06-08,US,R,Houston
9,25,Wes Iwundu,SF,6-6,195,1994-12-20,US,3,Kansas State
10,16,James Johnson,PF,6-7,240,1987-02-20,US,11,Wake Forest
11,42,Maxi Kleber,PF,6-10,240,1992-01-29,DE,3,
12,51,Boban Marjanović,C,7-3,290,1988-08-15,RS,5,
13,44,Nicolò Melli,PF,6-9,236,1991-01-26,IT,1,
14,6,Kristaps Porziņģis,C,7-3,240,1995-08-02,LV,4,
15,7,Dwight Powell,C,6-10,240,1991-07-20,CA,6,Stanford
16,17,J.J. Redick,SG,6-3,200,1984-06-24,US,14,Duke
17,0,Josh Richardson,SG,6-5,200,1993-09-15,US,5,Tennessee
18,1,Tyrell Terry,PG,6-2,160,2000-09-28,US,R,Stanford
