,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,4,Scottie Barnes,PF,6-9,227,2001-08-01,US,1,Florida State
1,25,Chris Boucher,PF,6-9,200,1993-01-11,LC,5,Oregon
2,43,Pascal Siakam,C,6-9,230,1994-04-02,CM,6,New Mexico State
3,23,Fred VanVleet,PG,6-1,197,1994-02-25,US,6,Wichita State
4,3,OG Anunoby,SF,6-7,232,1997-07-17,GB,5,Indiana
5,33,Gary Trent Jr.,SG,6-5,209,1999-01-18,US,4,Duke
6,35,Christian Koloko,C,7-1,230,2000-06-20,CM,R,Arizona
7,5,Precious Achiuwa,C,6-8,225,1999-09-19,NG,2,Memphis
8,21,Thaddeus Young,PF,6-8,235,1988-06-21,US,15,Georgia Tech
9,22,Malachi Flynn,PG,6-1,175,1998-05-10,US,2,"Washington State, San Diego State"
10,45,Dalano Banton,PG,6-9,204,1999-11-07,CA,1,Nebraska
11,19,Jakob Poeltl,C,7-1,245,1995-10-15,AT,6,Utah
12,20,Jeff Dowtin (TW),PG,6-3,185,1997-05-10,US,1,Rhode Island
13,1,Will Barton,SG,6-6,181,1991-01-06,US,10,Memphis
14,8,Ron Harper Jr. (TW),SF,6-6,245,2000-04-12,US,R,Rutgers University
15,11,Joe Wieskamp,SF,6-6,212,1999-08-23,US,1,Iowa
16,32,Otto Porter Jr.,SF,6-8,198,1993-06-03,US,9,Georgetown
