,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,4,Evan Mobley,PF,7-0,215,2001-06-18,US,1,USC
1,16,Cedi Osman,SF,6-7,230,1995-04-08,MK,5,
2,35,Isaac Okoro,SF,6-5,225,2001-01-26,US,2,Auburn
3,3,Caris LeVert,SG,6-6,205,1994-08-25,US,6,Michigan
4,10,Darius Garland,PG,6-1,192,2000-01-26,US,3,Vanderbilt
5,45,Donovan Mitchell,SG,6-1,215,1996-09-07,US,5,Louisville
6,31,Jarrett Allen,C,6-11,243,1998-04-21,US,5,Texas
7,8,Lamar Stevens,PF,6-6,230,1997-07-09,US,2,Penn State
8,19,Raul Neto,PG,6-1,180,1992-05-19,BR,7,
9,32,Dean Wade,PF,6-9,228,1996-11-20,US,3,Kansas State
10,33,Robin Lopez,C,7-0,281,1988-04-01,US,14,Stanford
11,13,Ricky Rubio,PG,6-2,190,1990-10-21,ES,11,
12,21,Mamadi Diakite (TW),PF,6-9,228,1997-01-21,GN,2,Virginia
13,15,Isaiah Mobley (TW),PF,6-10,240,1999-09-24,US,R,USC
14,14,Danny Green,SG,6-6,215,1987-06-22,US,13,UNC
15,5,Sam Merrill,SG,6-4,205,1996-05-15,US,2,Utah State University
16,9,Dylan Windler,SF,6-6,196,1996-09-22,US,2,Belmont
