,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,8,Álex Abrines,SG,6-6,200,1993-08-01,ES,R,
1,12,Steven Adams,C,6-11,265,1993-07-20,NZ,3,Pitt
2,6,Semaj Christon,PG,6-3,190,1992-11-01,US,R,Xavier
3,30,Norris Cole,PG,6-2,175,1988-10-13,US,5,Cleveland State University
4,4,Nick Collison,PF,6-10,255,1980-10-26,US,12,Kansas
5,11,Enes Freedom,C,6-10,250,1992-05-20,CH,5,
6,22,Taj Gibson,PF,6-9,232,1985-06-24,US,7,USC
7,9,Jerami Grant,PF,6-8,210,1994-03-12,US,2,Syracuse
8,34,Josh Huestis,PF,6-7,230,1991-12-19,US,1,Stanford
9,7,Ersan İlyasova,PF,6-9,235,1987-05-15,TR,8,
10,77,Joffrey Lauvergne,PF,6-11,220,1991-09-30,FR,2,
11,25,Doug McDermott,SF,6-7,225,1992-01-03,US,2,Creighton
12,2,Anthony Morrow,SG,6-5,210,1985-09-27,US,8,Georgia Tech
13,5,Victor Oladipo,SG,6-4,213,1992-05-04,US,3,Indiana
14,22,Cameron Payne,PG,6-1,183,1994-08-08,US,1,Murray State
15,21,Andre Roberson,SF,6-7,210,1991-12-04,US,3,Colorado
16,3,Domantas Sabonis,PF,6-11,240,1996-05-03,US,R,Gonzaga
17,15,Kyle Singler,SF,6-8,228,1988-05-04,US,4,Duke
18,0,Russell Westbrook,PG,6-3,200,1988-11-12,US,8,UCLA
