,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,21,Keljin Blevins,SF,6-4,200,1995-11-24,US,1,"Southern Miss, Montana State"
1,4,Greg Brown III,SF,6-9,205,2001-09-01,US,R,Texas
2,33,Robert Covington,PF,6-7,209,1990-12-14,US,8,Tennessee State
3,34,Jarron Cumberland,SG,6-5,205,1997-09-22,US,R,Cincinnati
4,18,Kris Dunn,PG,6-3,205,1994-03-18,US,5,Providence
5,16,CJ Elleby,SF,6-6,200,2000-06-16,US,1,Washington State
6,24,Drew Eubanks,C,6-9,245,1997-02-01,US,3,Oregon State
7,11,Josh Hart,SG,6-5,215,1995-03-06,US,4,Villanova
8,19,Elijah Hughes,SG,6-5,215,1998-03-10,US,1,"Syracuse, East Carolina University"
9,6,Keon Johnson,SG,6-5,186,2002-03-10,US,R,Tennessee
10,0,Damian Lillard,PG,6-2,195,1990-07-15,US,9,Weber State
11,9,Nassir Little,SF,6-5,220,2000-02-11,US,2,UNC
12,35,Didi Louzada,SG,6-5,188,1999-02-07,BR,1,
13,3,CJ McCollum,SG,6-3,190,1991-09-19,US,8,Lehigh
14,8,Cameron McGriff,SF,6-7,230,1997-09-30,US,R,Oklahoma State
15,23,Ben McLemore,SG,6-3,195,1993-02-11,US,8,Kansas
16,11,Larry Nance Jr.,C,6-7,245,1993-01-01,US,6,Wyoming
17,27,Jusuf Nurkić,C,6-11,290,1994-08-23,BA,7,
18,"10, 18",Reggie Perry,PF,6-8,250,2000-03-21,US,1,Mississippi State
19,24,Norman Powell,SF,6-3,215,1993-05-25,US,6,UCLA
20,1,Anfernee Simons,SG,6-3,181,1999-06-08,US,3,
21,10,Dennis Smith Jr.,PG,6-2,205,1997-11-25,US,4,NC State
22,17,Tony Snell,SG,6-6,213,1991-11-10,US,8,New Mexico
23,2,Trendon Watford,SF,6-9,240,2000-11-09,US,R,LSU
24,"5, 8",Brandon Williams,PG,6-2,190,1999-11-22,US,R,Arizona
25,26,Justise Winslow,PF,6-6,222,1996-03-26,US,6,Duke
26,40,Cody Zeller,C,6-11,240,1992-10-05,US,8,Indiana
