,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sun, Apr 19, 2015",2015,4,19,8:00p,True,POR,W,False,100,86,1,0,W 1
1,"Wed, Apr 22, 2015",2015,4,22,8:00p,True,POR,W,False,97,82,2,0,W 2
2,"Sat, Apr 25, 2015",2015,4,25,10:30p,False,POR,W,False,115,109,3,0,W 3
3,"Mon, Apr 27, 2015",2015,4,27,10:30p,False,POR,L,False,92,99,3,1,L 1
4,"Wed, Apr 29, 2015",2015,4,29,9:30p,True,POR,W,False,99,93,4,1,W 1
6,"Sun, May 3, 2015",2015,5,3,3:30p,False,GSW,L,False,86,101,4,2,L 1
7,"Tue, May 5, 2015",2015,5,5,10:30p,False,GSW,W,False,97,90,5,2,W 1
8,"Sat, May 9, 2015",2015,5,9,8:00p,True,GSW,W,False,99,89,6,2,W 2
9,"Mon, May 11, 2015",2015,5,11,9:30p,True,GSW,L,False,84,101,6,3,L 1
10,"Wed, May 13, 2015",2015,5,13,10:30p,False,GSW,L,False,78,98,6,4,L 2
11,"Fri, May 15, 2015",2015,5,15,9:30p,True,GSW,L,False,95,108,6,5,L 3
