,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,21,Tyus Jones,PG,6-0,196,1996-05-10,US,7,Duke
1,7,Santi Aldama,PF,6-11,224,2001-01-10,ES,1,Loyola (MD)
2,24,Dillon Brooks,SF,6-7,225,1996-01-22,CA,5,Oregon
3,46,John Konchar,SG,6-5,210,1996-03-22,US,3,Purdue-Fort Wayne
4,27,David Roddy,PF,6-6,255,2001-03-27,US,R,Colorado State
5,13,Jaren Jackson Jr.,C,6-11,242,1999-09-15,US,4,Michigan State
6,12,Ja Morant,PG,6-3,174,1999-08-10,US,3,Murray State
7,2,Xavier Tillman Sr.,PF,6-8,245,1999-01-12,US,2,Michigan State
8,22,Desmond Bane,SG,6-5,215,1998-06-25,US,2,TCU
9,15,Brandon Clarke,PF,6-8,215,1996-09-19,CA,3,"San Jose State, Gonzaga"
10,4,Steven Adams,C,6-11,265,1993-07-20,NZ,9,Pitt
11,8,Ziaire Williams,SF,6-8,215,2001-09-12,US,1,Stanford
12,3,Jake LaRavia,PF,6-8,235,2001-11-03,US,R,"Indiana State University, Wake Forest"
13,10,Luke Kennard,SG,6-5,206,1996-06-24,US,5,Duke
14,6,Kenneth Lofton Jr.,PF,6-7,275,2002-08-14,US,R,Louisiana Tech
15,5,Vince Williams Jr. (TW),SG,6-6,205,2000-08-30,US,R,VCU
16,0,Jacob Gilyard (TW),PG,5-9,160,1998-07-14,US,R,Richmond
