,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,42,Alexis Ajinça,C,7-2,248,1988-05-06,FR,6,
1,3,Ömer Aşık,C,7-0,255,1986-07-04,TR,6,
2,21,Anthony Brown,SF,6-7,210,1992-10-10,US,1,Stanford
3,18,Omri Casspi,PF,6-9,225,1988-06-22,IL,7,
4,22,Quinn Cook,PG,6-1,180,1993-03-23,US,R,Duke
5,0,DeMarcus Cousins,C,6-10,270,1990-08-13,US,6,Kentucky
6,4,Jordan Crawford,SG,6-4,195,1988-10-23,US,4,"Indiana, Xavier"
7,33,Dante Cunningham,PF,6-8,230,1987-04-22,US,7,Villanova
8,23,Anthony Davis,C,6-10,253,1993-03-11,US,4,Kentucky
9,13,Cheick Diallo,PF,6-8,219,1996-09-13,ML,R,Kansas
10,1,Tyreke Evans,SF,6-6,220,1989-09-19,US,7,Memphis
11,2,Tim Frazier,PG,6-0,170,1990-11-01,US,2,Penn State
12,10,Langston Galloway,PG,6-1,200,1991-12-09,US,2,Saint Joseph's
13,8,Archie Goodwin,SG,6-5,200,1994-08-17,US,3,Kentucky
14,24,Buddy Hield,SG,6-4,220,1992-12-17,BS,R,Oklahoma
15,44,Solomon Hill,SF,6-6,226,1991-03-18,US,3,Arizona
16,11,Jrue Holiday,PG,6-3,205,1990-06-12,US,7,UCLA
17,1,Jarrett Jack,PG,6-3,200,1983-10-28,US,11,Georgia Tech
18,9,Terrence Jones,PF,6-9,252,1992-01-09,US,4,Kentucky
19,55,E'Twaun Moore,SG,6-3,191,1989-02-25,US,5,Purdue
20,12,Donatas Motiejūnas,PF,7-0,222,1990-09-20,LT,4,
21,25,Wayne Selden,SG,6-5,230,1994-09-30,US,R,Kansas
22,5,Lance Stephenson,SG,6-6,230,1990-09-05,US,6,Cincinnati
23,32,Hollis Thompson,SG,6-8,206,1991-04-03,US,3,Georgetown
24,10,Axel Toupane,SF,6-7,197,1992-07-23,FR,1,
25,5,Reggie Williams,SF,6-6,205,1986-09-14,US,6,Virginia Military Institute
