,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,00,Carmelo Anthony,PF,6-7,238,1984-05-29,US,17,Syracuse
1,21,Keljin Blevins,SF,6-4,200,1995-11-24,US,R,"Southern Miss, Montana State"
2,23,Robert Covington,PF,6-7,209,1990-12-14,US,7,Tennessee State
3,16,CJ Elleby,SF,6-6,200,2000-06-16,US,R,Washington State
4,11,Enes Freedom,C,6-10,250,1992-05-20,CH,9,
5,4,Harry Giles,C,6-11,240,1998-04-22,US,2,Duke
6,2,Rondae Hollis-Jefferson,PF,6-6,217,1995-01-03,US,5,Arizona
7,5,Rodney Hood,SF,6-8,208,1992-10-20,US,6,"Mississippi State, Duke"
8,"5, 55",Derrick Jones Jr.,SF,6-5,210,1997-02-15,US,4,UNLV
9,18,T.J. Leaf,PF,6-10,222,1997-04-30,IL,3,UCLA
10,0,Damian Lillard,PG,6-2,195,1990-07-15,US,8,Weber State
11,9,Nassir Little,PF,6-5,220,2000-02-11,US,1,UNC
12,3,CJ McCollum,SG,6-3,190,1991-09-19,US,7,Lehigh
13,27,Jusuf Nurkić,C,6-11,290,1994-08-23,BA,6,
14,24,Norman Powell,SF,6-3,215,1993-05-25,US,5,UCLA
15,1,Anfernee Simons,SG,6-3,181,1999-06-08,US,2,
16,2,Gary Trent Jr.,SG,6-5,209,1999-01-18,US,2,Duke
