,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,33,Nicolas Batum,PF,6-8,230,1988-12-14,FR,13,
1,12,Eric Bledsoe,PG,6-1,214,1989-12-09,US,11,Kentucky
2,4,Brandon Boston Jr.,SG,6-7,185,2001-11-28,US,R,Kentucky
3,7,Amir Coffey,SG,6-7,210,1997-06-17,US,2,Minnesota
4,23,Robert Covington,PF,6-7,209,1990-12-14,US,8,Tennessee State
5,10,James Ennis III,SF,6-6,215,1990-07-01,US,7,Cal State Long Beach
6,35,Wenyen Gabriel,PF,6-9,205,1997-03-26,SD,2,Kentucky
7,13,Paul George,PF,6-8,220,1990-05-02,US,11,Fresno State
8,55,Isaiah Hartenstein,C,7-0,250,1998-05-05,US,3,
9,22,Rodney Hood,SF,6-8,208,1992-10-20,US,7,"Mississippi State, Duke"
10,9,Serge Ibaka,C,6-10,235,1989-09-18,CG,12,
11,1,Reggie Jackson,SG,6-2,208,1990-04-16,IT,10,Boston College
12,45,Keon Johnson,SG,6-5,186,2002-03-10,US,R,Tennessee
13,5,Luke Kennard,SG,6-5,206,1996-06-24,US,4,Duke
14,14,Terance Mann,SF,6-5,215,1996-10-18,US,2,Florida State
15,15,Xavier Moon,SG,6-2,165,1995-01-02,US,R,"Northwest Florida State College, Morehead State University"
16,8,Marcus Morris,PF,6-8,218,1989-09-02,US,10,Kansas
17,37,Semi Ojeleye,PF,6-6,240,1994-12-05,US,4,"Duke, SMU"
18,24,Norman Powell,SG,6-3,215,1993-05-25,US,6,UCLA
19,0,Jay Scrubb,SG,6-5,220,2000-09-01,US,1,John A. Logan College
20,20,Justise Winslow,PF,6-6,222,1996-03-26,US,6,Duke
21,11,Moses Wright,PF,6-9,233,1998-12-23,US,R,Georgia Tech
22,40,Ivica Zubac,C,7-0,240,1997-03-18,BA,5,
