,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,33,Nic Claxton,C,6-11,215,1999-04-17,US,3,Georgia
1,0,Royce O'Neale,SF,6-4,226,1993-06-05,US,5,"Denver, Baylor"
2,12,Joe Harris,SG,6-6,220,1991-09-06,US,8,Virginia
3,30,Seth Curry,SG,6-2,185,1990-08-23,US,8,"Liberty, Duke"
4,18,Yuta Watanabe,SF,6-9,215,1994-10-13,JP,4,George Washington
5,24,Cam Thomas,SG,6-4,210,2001-10-13,JP,1,LSU
6,4,Edmond Sumner,SG,6-4,196,1995-12-31,US,4,Xavier
7,20,Day'Ron Sharpe,C,6-11,265,2001-11-06,US,1,UNC
8,10,Ben Simmons,PG,6-10,240,1996-07-20,AU,4,LSU
9,8,Patty Mills,PG,6-1,180,1988-08-11,AU,13,Saint Mary's
10,1,Mikal Bridges,SF,6-6,209,1996-08-30,US,4,Villanova
11,26,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,8,Colorado
12,28,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US,6,Florida
13,2,Cameron Johnson,PF,6-8,210,1996-03-03,US,3,"Pitt, UNC"
14,6,David Duke Jr.,SG,6-5,205,1999-10-13,US,1,Providence
15,9,Dru Smith (TW),SG,6-3,203,1997-12-30,US,R,"University of Evansville, Missouri"
16,0,RaiQuan Gray (TW),PF,6-8,260,1999-07-07,US,R,Florida State
