,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,LaMelo Ball,PG,6-7,180,2001-08-22,US,1,
1,5,James Bouknight,SG,6-5,190,2000-09-18,US,R,UConn
2,0,Miles Bridges,PF,6-6,225,1998-03-21,US,3,Michigan State
3,22,Vernon Carey Jr.,C,6-9,270,2001-02-25,US,1,Duke
4,8,Montrezl Harrell,C,6-7,240,1994-01-26,US,6,Louisville
5,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,11,Butler
6,23,Kai Jones,C,6-11,218,2001-01-19,BS,R,Texas
7,98,Arnoldas Kulboka,SF,6-9,198,1998-01-04,LT,R,
8,16,Scottie Lewis,SG,6-5,189,2000-03-12,US,R,Florida
9,11,Cody Martin,SF,6-5,205,1995-09-28,US,2,"NC State, Nevada"
10,6,Jalen McDaniels,SF,6-9,205,1998-01-31,US,2,San Diego State
11,12,Kelly Oubre Jr.,SF,6-7,203,1995-12-09,US,6,Kansas
12,24,Mason Plumlee,C,6-11,254,1990-03-05,US,8,Duke
13,14,Nick Richards,C,7-0,245,1997-11-29,JM,1,Kentucky
14,3,Terry Rozier,SG,6-1,190,1994-03-17,US,6,Louisville
15,10,Ish Smith,PG,6-0,175,1988-07-05,US,11,Wake Forest
16,4,Isaiah Thomas,PG,5-9,185,1989-02-07,US,10,Washington
17,21,JT Thor,PF,6-10,205,2002-08-26,US,R,Auburn
18,25,P.J. Washington,C,6-7,230,1998-08-23,US,2,Kentucky
