,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,35,Marvin Bagley III,PF,6-11,235,1999-03-14,US,2,Duke
1,40,Harrison Barnes,PF,6-8,225,1992-05-30,US,8,UNC
2,8,Nemanja Bjelica,PF,6-10,234,1988-05-09,RS,5,
3,9,Terence Davis,SG,6-4,201,1997-05-16,US,1,Ole Miss
4,5,De'Aaron Fox,PG,6-3,185,1997-12-20,US,3,Kentucky
5,7,Kyle Guy,PG,6-1,167,1997-08-11,US,1,Virginia
6,0,Tyrese Haliburton,PG,6-5,185,2000-02-29,US,R,Iowa State
7,8,Maurice Harkless,PF,6-7,220,1993-05-11,US,8,St. John's
8,24,Buddy Hield,SG,6-4,220,1992-12-17,BS,4,Oklahoma
9,22,Richaun Holmes,C,6-10,235,1993-10-15,US,5,Bowling Green
10,10,Justin James,SF,6-7,190,1997-01-24,US,1,Wyoming
11,19,DaQuan Jeffries,SG,6-5,230,1997-08-30,US,1,"Oral Roberts, Tulsa"
12,15,Damian Jones,C,6-11,245,1995-06-30,US,4,Vanderbilt
13,9,Cory Joseph,PG,6-3,200,1991-08-20,CA,9,Texas
14,23,Louis King,SF,6-7,205,1999-04-06,US,1,Oregon
15,25,Chimezie Metu,C,6-9,225,1997-03-22,US,2,USC
16,33,Jabari Parker,PF,6-8,245,1995-03-15,US,6,Duke
17,31,Norvel Pelle,C,6-10,231,1993-02-03,AG,1,
18,3,Jahmi'us Ramsey,SG,6-3,190,2001-06-09,US,R,Texas Tech
19,30,Glenn Robinson III,SF,6-6,222,1994-01-08,US,6,Michigan
20,30,Chris Silva,PF,6-8,234,1996-09-19,GA,1,South Carolina
21,20,Hassan Whiteside,C,7-0,265,1989-06-13,US,8,Marshall
22,13,Robert Woodard II,SF,6-6,235,1999-09-22,US,R,Mississippi State
23,55,Delon Wright,PG,6-5,185,1992-04-26,US,5,Utah
