,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,44,Bojan Bogdanović,SF,6-7,226,1989-04-18,BA,5,
1,13,Tony Bradley,C,6-10,248,1998-01-08,US,2,UNC
2,5,Jarrell Brantley,PF,6-5,250,1996-06-07,US,R,College of Charleston
3,00,Jordan Clarkson,SG,6-4,194,1992-06-07,US,5,"Tulsa, Missouri"
4,10,Mike Conley,PG,6-1,175,1987-10-11,US,12,Ohio State
5,17,Ed Davis,C,6-9,218,1989-06-05,US,9,UNC
6,11,Dante Exum,SG,6-5,214,1995-07-13,AU,4,
7,27,Rudy Gobert,C,7-1,258,1992-06-26,FR,6,
8,22,Jeff Green,PF,6-8,235,1986-08-28,US,11,Georgetown
9,2,Joe Ingles,PF,6-8,220,1987-10-02,AU,5,
10,15,Stanton Kidd,SG,6-6,215,1992-03-18,US,R,"South Plains College, NC Central, Colorado State"
11,45,Donovan Mitchell,SG,6-1,215,1996-09-07,US,2,Louisville
12,16,Juwan Morgan,PF,6-7,232,1997-04-17,US,R,Indiana
13,"8, 15",Emmanuel Mudiay,PG,6-3,200,1996-03-05,CD,4,
14,31,Georges Niang,PF,6-7,230,1993-06-17,US,3,Iowa State
15,23,Royce O'Neale,SF,6-4,226,1993-06-05,US,2,"Denver, Baylor"
16,"24, 81",Miye Oni,SF,6-5,206,1997-08-04,US,R,Yale
17,6,Rayjon Tucker,SG,6-3,209,1997-09-24,US,R,"Florida Gulf Coast, Little Rock"
18,0,Nigel Williams-Goss,PG,6-2,190,1994-09-16,US,R,"Gonzaga, Washington"
19,3,Justin Wright-Foreman,PG,6-0,190,1997-10-27,US,R,Hofstra
