,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,3,Grayson Allen,SG,6-4,198,1995-10-08,US,2,Duke
1,1,Kyle Anderson,PF,6-9,230,1993-09-20,US,6,UCLA
2,22,Desmond Bane,SG,6-5,215,1998-06-25,US,R,TCU
3,24,Dillon Brooks,SF,6-7,225,1996-01-22,CA,3,Oregon
4,15,Brandon Clarke,PF,6-8,215,1996-09-19,CA,1,"San Jose State, Gonzaga"
5,14,Gorgui Dieng,C,6-10,252,1990-01-18,SN,7,Louisville
6,10,Tim Frazier,PG,6-0,170,1990-11-01,US,6,Penn State
7,13,Jaren Jackson Jr.,C,6-11,242,1999-09-15,US,2,Michigan State
8,21,Tyus Jones,PG,6-0,196,1996-05-10,US,5,Duke
9,46,John Konchar,SG,6-5,210,1996-03-22,US,1,Purdue-Fort Wayne
10,30,Sean McDermott,SF,6-6,195,1996-11-03,US,R,Butler
11,0,De'Anthony Melton,PG,6-2,200,1998-05-28,US,2,USC
12,12,Ja Morant,PG,6-3,174,1999-08-10,US,1,Murray State
13,4,Jontay Porter,PF,6-11,240,1999-11-15,US,R,Missouri
14,35,Killian Tillie,C,6-9,220,1998-03-05,FR,R,Gonzaga
15,2,Xavier Tillman Sr.,PF,6-8,245,1999-01-12,US,R,Michigan State
16,17,Jonas Valančiūnas,C,6-11,265,1992-05-06,LT,8,
17,7,Justise Winslow,SF,6-6,222,1996-03-26,US,5,Duke
