,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,9,Andrea Bargnani,C,7-0,245,1985-10-26,IT,9,
1,44,Bojan Bogdanović,SF,6-7,226,1989-04-18,BA,1,
2,22,Markel Brown,SG,6-3,190,1992-01-29,US,1,Oklahoma State
3,21,Wayne Ellington,SG,6-4,207,1987-11-29,US,6,UNC
4,24,Rondae Hollis-Jefferson,SF,6-6,217,1995-01-03,US,R,Arizona
5,2,Jarrett Jack,PG,6-3,200,1983-10-28,US,10,Georgia Tech
6,7,Joe Johnson,SF,6-7,240,1981-06-29,US,14,Arkansas
7,10,Sergey Karasev,SF,6-7,208,1993-10-26,RU,2,
8,6,Sean Kilpatrick,SG,6-4,210,1990-01-06,US,1,Cincinnati
9,0,Shane Larkin,PG,5-11,175,1992-10-02,US,2,Miami (FL)
10,11,Brook Lopez,C,7-0,282,1988-04-01,US,7,Stanford
11,1,Chris McCullough,PF,6-11,200,1995-02-05,US,R,Syracuse
12,33,Willie Reed,C,6-10,220,1990-05-16,US,R,Saint Louis
13,41,Thomas Robinson,PF,6-10,237,1991-03-17,US,3,Kansas
14,14,Henry Sims,C,6-10,248,1990-03-27,US,3,Georgetown
15,15,Donald Sloan,PG,6-3,205,1988-01-15,US,4,Texas A&M
16,30,Thaddeus Young,PF,6-8,235,1988-06-21,US,8,Georgia Tech
