,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,9.0,Nikola Vučević,C,6-10,260,1990-10-24,CH,11,USC
1,44.0,Patrick Williams,PF,6-7,215,2001-08-26,US,2,Florida State
2,12.0,Ayo Dosunmu,SG,6-5,200,2000-01-17,US,1,Illinois
3,8.0,Zach LaVine,SG,6-5,200,1995-03-10,US,8,UCLA
4,11.0,DeMar DeRozan,SF,6-6,220,1989-08-07,US,13,USC
5,0.0,Coby White,SG,6-5,195,2000-02-16,US,3,UNC
6,3.0,Andre Drummond,C,6-10,279,1993-08-10,US,10,UConn
7,6.0,Alex Caruso,PG,6-4,186,1994-02-28,US,5,Texas A&M
8,5.0,Derrick Jones Jr.,SF,6-5,210,1997-02-15,US,6,UNLV
9,25.0,Dalen Terry,SG,6-7,195,2002-07-12,US,R,Arizona
10,24.0,Javonte Green,SG,6-4,205,1993-07-23,US,3,Radford
11,21.0,Patrick Beverley,PG,6-1,180,1988-07-12,US,10,Arkansas
12,22.0,Carlik Jones,PG,6-1,185,1997-12-23,US,1,"Radford, Louisville"
13,19.0,Marko Simonovic,C,6-11,216,1999-10-15,ME,1,
14,32.0,Terry Taylor (TW),PF,6-5,230,1999-09-23,US,1,Austin Peay State University
15,,Lonzo Ball,PG,6-6,190,1997-10-27,US,5,UCLA
16,,Justin Lewis (TW),PF,6-7,245,2002-04-12,US,R,Marquette
