,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
10,NYK_2000,29.5,50.0,32.0,46,36,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,0.482,14.4,24.7,0.221,0.455,13.6,73.1,0.251,,82,19855,39.3,85.2,0.462,4.4,11.7,0.374,34.9,73.4,0.476,22.0,29.5,0.746,12.3,35.5,47.9,24.2,8.2,7.3,16.4,22.9,105.0,82,19755,37.7,84.6,0.446,5.3,14.9,0.354,32.4,69.7,0.465,21.7,29.0,0.746,12.0,30.3,42.3,22.0,8.0,5.6,17.2,27.4,102.3
11,DET_2000,28.3,42.0,40.0,45,37,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249,,82,19805,40.0,89.0,0.45,6.5,20.2,0.322,33.5,68.7,0.487,18.6,24.6,0.754,12.9,32.2,45.0,23.8,9.6,4.7,16.2,21.1,105.0,82,19905,38.4,86.4,0.445,5.0,14.0,0.356,33.4,72.4,0.462,21.6,28.7,0.752,12.0,32.1,44.1,22.8,7.8,4.5,16.2,22.1,103.4
12,PHI_2000,27.1,49.0,33.0,45,37,1.34,-0.32,1.02,101.5,100.0,1.5,92.7,0.329,0.095,0.501,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.229,,82,19730,39.3,88.5,0.444,5.4,16.2,0.331,33.9,72.3,0.469,20.8,28.0,0.745,14.2,31.1,45.4,22.4,10.2,3.7,16.2,28.6,104.8,82,19730,40.7,91.2,0.446,4.3,13.1,0.327,36.4,78.1,0.466,18.0,23.8,0.755,13.6,33.3,46.9,22.7,8.0,4.2,14.7,25.0,103.6
13,SEA_2000,28.5,45.0,37.0,44,38,0.95,0.22,1.17,105.6,104.6,1.0,93.4,0.282,0.232,0.52,0.487,12.9,28.5,0.196,0.483,14.0,69.6,0.193,,82,19830,38.6,85.6,0.45,7.5,20.9,0.358,31.1,64.7,0.48,20.2,27.6,0.733,13.0,33.2,46.2,22.8,7.9,5.6,18.3,21.4,104.8,82,19855,37.7,85.1,0.443,5.3,15.5,0.342,32.4,69.6,0.465,23.4,30.1,0.776,12.8,32.7,45.5,24.5,8.3,6.3,17.5,26.0,104.0
14,ORL_2000,26.3,41.0,41.0,43,39,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,0.473,15.4,31.6,0.224,0.476,15.9,69.9,0.226,,82,19755,39.2,90.4,0.433,5.6,15.4,0.363,33.6,75.0,0.447,20.8,27.2,0.765,14.4,32.2,46.6,25.6,8.8,7.1,14.9,26.1,104.7,82,19780,40.7,90.2,0.451,5.7,16.8,0.34,35.0,73.4,0.477,17.5,23.3,0.748,14.1,33.9,48.0,25.2,7.7,5.6,16.3,23.9,104.6
15,MIL_2000,28.2,42.0,40.0,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,0.494,13.8,30.0,0.228,0.496,14.6,69.6,0.254,,82,19805,39.9,87.3,0.457,5.9,16.1,0.368,34.0,71.2,0.477,18.9,24.9,0.759,13.2,33.0,46.1,27.0,9.6,5.6,17.6,25.4,104.6,82,19805,39.5,86.7,0.456,4.9,14.2,0.341,34.7,72.4,0.478,20.8,28.0,0.741,13.5,32.7,46.3,25.8,11.6,6.2,16.9,26.6,104.6
16,TOR_2000,29.3,45.0,37.0,41,41,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,,82,19830,40.1,87.2,0.46,6.0,16.2,0.371,34.1,71.0,0.481,18.2,24.7,0.736,12.4,35.3,47.8,26.1,7.9,7.1,16.6,26.3,104.5,82,19755,39.4,86.9,0.454,4.5,13.4,0.339,34.9,73.5,0.475,21.4,28.1,0.764,12.6,33.5,46.2,23.5,7.3,5.7,16.4,24.6,104.9
17,DAL_2000,26.3,40.0,42.0,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,,82,19780,37.9,84.4,0.449,4.4,12.9,0.339,33.5,71.5,0.469,24.1,31.8,0.758,11.4,34.0,45.5,26.1,9.5,6.2,15.6,21.6,104.3,82,19730,38.1,81.1,0.47,4.6,12.8,0.361,33.4,68.3,0.49,24.8,33.0,0.753,11.0,32.6,43.6,23.1,8.2,6.1,17.9,24.8,105.6
18,BOS_2000,25.4,35.0,47.0,39,43,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,,82,19855,39.0,88.2,0.442,6.0,17.8,0.336,33.0,70.4,0.469,19.5,27.0,0.724,13.7,33.0,46.7,24.4,7.1,7.9,16.3,25.0,103.5,82,19830,41.4,90.9,0.456,4.5,12.7,0.354,37.0,78.2,0.473,18.3,23.5,0.779,13.2,31.5,44.7,23.9,9.4,5.6,14.5,23.6,105.7
19,HOU_2000,26.3,34.0,48.0,39,43,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,,82,19805,39.3,87.3,0.451,4.4,11.6,0.376,35.0,75.7,0.462,20.5,27.5,0.743,13.9,31.9,45.8,23.1,7.7,5.0,17.2,28.1,103.5,82,19830,39.5,84.8,0.465,5.8,15.6,0.371,33.7,69.2,0.486,21.1,28.3,0.746,12.3,31.7,44.0,24.0,8.2,5.0,17.7,28.1,105.8
20,NJN_2000,27.3,31.0,51.0,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,0.297,0.2,0.517,0.468,12.6,28.1,0.233,0.491,15.2,67.2,0.223,,82,19830,39.3,86.5,0.455,4.8,12.7,0.375,34.6,73.8,0.468,19.1,24.5,0.781,10.9,34.2,45.1,21.6,7.0,4.7,16.3,26.9,102.5,82,19855,39.9,88.7,0.45,5.1,14.4,0.354,34.8,74.3,0.469,20.8,27.7,0.751,13.1,33.2,46.4,25.6,7.9,5.9,15.0,24.7,105.8
21,DEN_2000,25.9,35.0,47.0,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235,,82,19755,39.6,87.6,0.452,3.7,10.9,0.338,35.9,76.7,0.468,19.6,26.7,0.735,14.3,31.7,46.0,21.3,9.3,5.8,18.0,24.6,102.4,82,19830,40.9,88.2,0.464,4.8,13.3,0.363,36.1,74.9,0.481,19.7,26.3,0.747,14.8,34.8,49.5,24.4,7.4,6.1,17.9,24.5,106.3
22,WAS_2000,28.0,29.0,53.0,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,0.315,0.133,0.521,0.476,14.8,30.6,0.234,0.489,13.9,71.7,0.273,,82,19855,38.4,85.6,0.449,4.3,11.9,0.361,34.1,73.7,0.463,21.2,27.4,0.774,13.4,30.9,44.2,22.6,8.1,4.6,18.4,25.0,102.3,82,19805,39.3,85.6,0.459,5.1,13.7,0.371,34.2,71.8,0.476,23.4,31.4,0.744,12.6,31.6,44.2,23.4,9.0,6.6,16.0,25.7,107.0
23,CLE_2000,27.2,32.0,50.0,31,51,-3.5,-0.14,-3.64,100.4,104.0,-3.6,95.7,0.327,0.136,0.516,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,,82,19830,39.6,89.8,0.441,3.4,10.7,0.317,36.2,79.1,0.458,19.5,26.2,0.743,15.1,33.9,49.0,20.4,6.6,6.1,16.7,22.7,102.0,82,19730,41.3,90.4,0.457,5.5,15.9,0.345,35.8,74.4,0.481,19.0,25.7,0.74,16.0,34.8,50.9,24.4,7.7,5.3,16.9,23.2,107.2
24,ATL_2000,27.6,28.0,54.0,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,0.292,0.12,0.503,0.46,14.1,31.7,0.217,0.481,11.3,71.0,0.196,,82,19830,39.1,88.5,0.442,2.7,8.4,0.323,36.4,80.1,0.454,20.6,29.1,0.708,15.0,32.2,47.2,23.7,10.3,5.0,16.8,25.3,101.5,82,19855,39.5,86.6,0.457,6.9,17.7,0.391,32.6,68.9,0.473,22.0,29.2,0.752,13.5,30.9,44.4,25.9,8.3,4.4,17.0,24.4,107.9
25,VAN_2000,25.3,22.0,60.0,25,57,-5.62,0.52,-5.1,102.3,108.5,-6.2,91.0,0.32,0.139,0.524,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,,82,19855,37.6,85.1,0.442,4.3,11.6,0.373,33.3,73.4,0.453,20.9,27.9,0.75,12.8,31.6,44.3,24.5,9.0,4.6,18.0,28.0,100.4,82,19830,42.4,93.1,0.455,4.9,13.4,0.367,37.4,79.7,0.469,18.2,23.7,0.769,13.9,32.6,46.5,24.9,8.6,5.3,13.2,24.1,107.9
26,GSW_2000,26.9,19.0,63.0,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,0.301,0.15,0.484,0.444,13.9,32.6,0.21,0.499,14.6,69.1,0.259,,82,19755,38.1,90.9,0.42,4.4,13.6,0.323,33.8,77.3,0.437,19.1,27.3,0.697,16.6,31.0,47.6,23.6,9.3,4.5,16.6,26.0,99.8,82,19755,40.3,86.3,0.467,5.4,14.8,0.367,34.9,71.5,0.488,22.3,29.6,0.754,13.9,34.3,48.2,25.9,8.8,6.3,17.0,24.0,108.4
27,CHI_2000,26.0,17.0,65.0,15,67,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.338,0.167,0.49,0.443,18.0,29.9,0.24,0.484,14.5,69.9,0.24,,82,19705,37.3,87.6,0.426,5.6,16.4,0.339,31.7,71.2,0.446,17.7,23.7,0.746,12.4,30.8,43.2,19.2,7.5,6.4,17.2,23.6,97.8,82,19855,41.7,87.9,0.474,4.8,14.4,0.333,36.9,73.5,0.502,20.3,26.4,0.769,12.9,31.0,43.9,25.7,9.6,6.9,16.4,25.4,108.5
28,LAC_2000,24.2,15.0,67.0,13,69,-11.52,0.8,-10.73,97.8,110.1,-12.3,93.9,0.27,0.188,0.499,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,,82,19805,34.8,83.7,0.415,4.6,14.0,0.329,30.1,69.7,0.432,20.1,28.3,0.709,14.0,31.5,45.5,22.3,8.8,5.2,21.1,25.8,94.2,82,19705,42.5,89.2,0.477,5.4,14.0,0.387,37.1,75.2,0.494,19.6,26.5,0.741,13.5,35.0,48.5,25.6,8.1,4.9,15.2,22.4,110.1
