,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,41,Saddiq Bey,SF,6-7,215,1999-04-09,US,R,Villanova
1,25,Tyler Cook,SF,6-8,255,1997-09-23,US,1,Iowa
2,6,Hamidou Diallo,SF,6-5,202,1998-07-31,US,2,Kentucky
3,45,Sekou Doumbouya,PF,6-8,230,2000-12-23,GN,1,
4,8,Wayne Ellington,SG,6-4,207,1987-11-29,US,11,UNC
5,9,Jerami Grant,SF,6-8,210,1994-03-12,US,6,Syracuse
6,23,Blake Griffin,PF,6-9,250,1989-03-16,US,10,Oklahoma
7,7,Killian Hayes,PG,6-5,195,2001-07-27,US,R,
8,5,Frank Jackson,PG,6-3,205,1998-05-04,US,2,Duke
9,20,Josh Jackson,SG,6-8,207,1997-02-10,US,3,Kansas
10,18,Cory Joseph,PG,6-3,200,1991-08-20,CA,9,Texas
11,38,Saben Lee,PG,6-2,183,1999-06-23,US,R,Vanderbilt
12,17,Rodney McGruder,SG,6-4,205,1991-07-29,US,4,Kansas State
13,19,Svi Mykhailiuk,SF,6-7,205,1997-06-10,UA,2,Kansas
14,13,Jahlil Okafor,C,6-10,270,1995-12-15,US,5,Duke
15,24,Mason Plumlee,C,6-11,254,1990-03-05,US,7,Duke
16,25,Derrick Rose,PG,6-3,200,1988-10-04,US,11,Memphis
17,91,Deividas Sirvydis,SG,6-8,190,2000-06-10,LT,R,
18,0,Dennis Smith Jr.,PG,6-2,205,1997-11-25,US,3,NC State
19,28,Isaiah Stewart,C,6-8,250,2001-05-22,US,R,Washington
20,55,Delon Wright,SG,6-5,185,1992-04-26,US,5,Utah
