,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,21,Daniel Gafford,C,6-10,234,1998-10-01,US,3,Arkansas
1,9,Deni Avdija,SF,6-9,210,2001-01-03,IL,2,
2,24,Corey Kispert,SF,6-7,220,1999-03-03,US,1,Gonzaga
3,6,Kristaps Porziņģis,C,7-3,240,1995-08-02,LV,6,
4,33,Kyle Kuzma,PF,6-9,221,1995-07-24,US,5,Utah
5,22,Monte Morris,PG,6-2,183,1995-06-27,US,5,Iowa State
6,7,Jordan Goodwin,PG,6-3,200,1998-10-23,US,1,Saint Louis
7,16,Anthony Gill,PF,6-7,230,1992-10-17,US,2,"South Carolina, Virginia"
8,3,Bradley Beal,SG,6-4,207,1993-06-28,US,10,Florida
9,55,Delon Wright,PG,6-5,185,1992-04-26,US,7,Utah
10,67,Taj Gibson,C,6-9,232,1985-06-24,US,13,USC
11,20,Kendrick Nunn,PG,6-2,190,1995-08-03,US,2,"Illinois, Oakland"
12,1,Johnny Davis,SG,6-5,196,2002-02-27,US,R,Wisconsin
13,12,Xavier Cooks,PF,6-8,183,1995-08-19,AU,R,Winthrop University
14,29,Quenton Jackson (TW),PG,6-5,175,1998-09-15,US,R,Texas A&M
15,34,Jay Huff (TW),C,7-1,240,1998-08-25,US,1,Virginia
16,14,Isaiah Todd,PF,6-10,220,2001-10-17,US,1,
