,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,7,Darius Bazley,PF,6-8,208,2000-06-12,US,1,
1,13,Tony Bradley,C,6-10,248,1998-01-08,US,3,UNC
2,44,Charlie Brown Jr.,SG,6-6,199,1997-02-02,US,1,Saint Joseph's
3,9,Moses Brown,C,7-2,245,1999-10-13,US,1,UCLA
4,6,Gabriel Deck,PF,6-8,232,1995-02-08,AR,R,
5,6,Hamidou Diallo,SG,6-5,202,1998-07-31,US,2,Kentucky
6,5,Luguentz Dort,SG,6-3,215,1999-04-19,CA,1,Arizona State
7,2,Shai Gilgeous-Alexander,SG,6-6,180,1998-07-12,CA,2,Kentucky
8,15,Josh Hall,SF,6-9,190,2000-10-08,US,R,
9,3,George Hill,PG,6-4,188,1986-05-04,US,12,IUPUI
10,8,Jaylen Hoard,SF,6-8,216,1999-03-30,FR,1,Wake Forest
11,42,Al Horford,C,6-9,240,1986-06-03,DO,13,Florida
12,44,Justin Jackson,SF,6-8,220,1995-03-28,US,3,UNC
13,16,Ty Jerome,SG,6-5,195,1997-07-08,US,1,Virginia
14,11,Théo Maledon,PG,6-4,175,2001-06-12,FR,R,
15,12,Darius Miller,SF,6-6,225,1990-03-21,US,5,Kentucky
16,33,Mike Muscala,C,6-10,240,1991-07-01,US,7,Bucknell
17,14,Svi Mykhailiuk,SG,6-7,205,1997-06-10,UA,2,Kansas
18,17,Aleksej Pokusevski,PF,7-0,190,2001-12-26,RS,R,
19,3,Justin Robinson,PG,6-1,195,1997-10-12,US,1,Virginia Tech
20,22,Isaiah Roby,PF,6-8,230,1998-02-03,US,1,Nebraska
21,34,Kenrich Williams,PF,6-6,210,1994-12-02,US,2,TCU
