,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,6,Pero Antić,C,6-11,260,1982-07-29,MK,1,
1,24,Kent Bazemore,SG,6-4,195,1989-07-01,US,2,Old Dominion
2,7,Elton Brand,C,6-9,275,1979-03-11,US,15,Duke
3,5,DeMarre Carroll,SF,6-6,215,1986-07-27,US,5,"Vanderbilt, Missouri"
4,3,Austin Daye,SF,6-11,220,1988-06-05,US,5,Gonzaga
5,15,Al Horford,C,6-9,240,1986-06-03,DO,7,Florida
6,12,John Jenkins,SG,6-4,215,1991-03-06,US,2,Vanderbilt
7,26,Kyle Korver,SG,6-7,212,1981-03-17,US,11,Creighton
8,8,Shelvin Mack,PG,6-3,203,1990-04-22,US,3,Butler
9,4,Paul Millsap,PF,6-7,257,1985-02-10,US,8,Louisiana Tech
10,31,Mike Muscala,PF,6-10,240,1991-07-01,US,1,Bucknell
11,33,Adreian Payne,PF,6-10,237,1991-02-19,US,R,Michigan State
12,17,Dennis Schröder,PG,6-3,172,1993-09-15,DE,1,
13,32,Mike Scott,PF,6-7,237,1988-07-16,US,2,Virginia
14,25,Thabo Sefolosha,SF,6-6,215,1984-05-02,CH,8,
15,0,Jeff Teague,PG,6-3,195,1988-06-10,US,5,Wake Forest
