,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,31,Max Strus,SF,6-5,215,1996-03-28,US,3,"Lewis (IL), DePaul"
1,13,Bam Adebayo,C,6-9,255,1997-07-18,US,5,Kentucky
2,16,Caleb Martin,PF,6-5,205,1995-09-28,US,3,"NC State, Nevada"
3,2,Gabe Vincent,PG,6-3,200,1996-06-14,US,3,UC Santa Barbara
4,14,Tyler Herro,SG,6-5,195,2000-01-20,US,3,Kentucky
5,22,Jimmy Butler,SF,6-7,230,1989-09-14,US,11,Marquette
6,7,Kyle Lowry,PG,6-0,196,1986-03-25,US,16,Villanova
7,24,Haywood Highsmith,SF,6-7,220,1996-12-09,US,2,Wheeling University
8,4,Victor Oladipo,SG,6-4,213,1992-05-04,US,9,Indiana
9,55,Duncan Robinson,SF,6-7,215,1994-04-22,US,4,"Williams, Michigan"
10,25,Orlando Robinson (TW),C,7-0,235,2000-07-10,US,R,Fresno State
11,42,Kevin Love,PF,6-8,251,1988-09-07,US,14,UCLA
12,8,Jamal Cain (TW),SF,6-7,191,1999-03-20,US,R,"Marquette, Oakland"
13,44,Cody Zeller,C,6-11,240,1992-10-05,US,9,Indiana
14,5,Nikola Jović,PF,6-10,209,2003-06-09,GB,R,
15,77,Omer Yurtseven,C,7-0,264,1998-06-19,TR,1,"NC State, Georgetown"
16,40,Udonis Haslem,C,6-8,235,1980-06-09,US,19,Florida
