,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
0,SAS_2016,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,0.477,14.1,79.1,0.182,18450,82,19880,42.4,87.0,0.487,13.1,31.5,0.416,29.3,55.5,0.528,16.6,21.8,0.763,9.9,36.1,46.0,28.8,8.4,6.1,15.1,20.7,114.5,82,19705,38.0,87.2,0.436,7.0,21.2,0.331,31.0,65.9,0.47,15.9,20.9,0.758,9.7,33.5,43.2,22.2,7.7,4.1,15.8,20.7,99.0
1,GSW_2016,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208,19596,82,19830,42.2,88.6,0.476,8.5,24.3,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1,82,19830,38.0,87.9,0.432,8.5,25.0,0.338,29.5,62.9,0.469,17.0,22.6,0.755,11.8,35.7,47.5,22.5,8.8,5.1,16.5,18.7,101.4
2,OKC_2016,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,18203,82,19855,41.1,89.3,0.46,11.4,31.5,0.362,29.7,57.8,0.514,17.3,23.1,0.748,11.3,36.0,47.3,24.1,7.1,4.1,14.4,21.6,110.9,82,19880,38.3,87.0,0.44,8.5,25.4,0.334,29.8,61.5,0.484,17.8,23.7,0.751,11.0,34.7,45.6,21.3,7.9,4.6,16.2,20.9,102.9
3,CLE_2016,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,20562,82,19705,42.7,88.3,0.484,7.4,19.7,0.375,35.3,68.6,0.515,17.4,21.7,0.803,10.0,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3,82,19780,37.9,85.9,0.441,7.9,23.6,0.336,30.0,62.4,0.481,19.9,26.3,0.755,11.5,35.0,46.5,21.1,7.7,5.5,16.6,21.2,103.6
4,TOR_2016,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,19826,82,19780,39.3,87.1,0.451,9.2,25.0,0.37,30.0,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14.0,21.0,110.0,82,19830,38.1,87.8,0.434,8.1,24.1,0.338,29.9,63.6,0.471,19.5,26.0,0.751,12.2,36.1,48.4,22.0,7.4,3.3,15.9,23.3,103.8
5,LAC_2016,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,19193,82,19805,40.0,88.9,0.45,10.9,29.5,0.37,29.1,59.4,0.49,18.0,23.8,0.754,12.0,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8,82,19880,38.7,89.1,0.435,7.8,23.4,0.332,31.0,65.7,0.472,18.5,24.5,0.757,11.4,32.4,43.7,22.2,8.6,4.1,14.4,19.8,103.8
6,ATL_2016,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,16833,82,19830,38.4,84.9,0.452,10.9,31.4,0.347,27.5,53.5,0.514,20.7,29.8,0.694,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,108.3,82,19955,38.6,86.6,0.446,8.6,24.0,0.357,30.0,62.5,0.48,18.2,24.3,0.746,10.1,33.3,43.4,20.7,8.6,5.1,15.1,21.5,103.9
7,BOS_2016,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,18270,82,19830,39.7,85.4,0.465,10.1,27.7,0.364,29.6,57.7,0.513,18.8,27.2,0.692,9.1,34.5,43.6,23.7,9.0,5.8,13.4,22.1,108.3,82,19855,39.1,88.1,0.444,9.2,26.3,0.349,30.0,61.8,0.485,16.9,21.9,0.769,9.2,37.1,46.3,24.0,7.0,5.7,13.9,21.1,104.3
8,CHO_2016,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,17485,82,19855,38.4,87.5,0.439,11.0,30.5,0.362,27.3,57.0,0.479,19.4,24.5,0.79,9.3,36.3,45.5,22.5,7.5,5.5,13.0,18.8,107.1,82,19830,39.5,89.4,0.442,7.8,22.5,0.347,31.7,66.9,0.474,17.5,22.8,0.77,10.4,33.4,43.8,21.4,7.9,4.4,13.7,20.8,104.4
9,UTA_2016,24.2,40.0,42.0,46,36,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,19305,82,19780,39.6,90.2,0.439,8.8,26.4,0.335,30.8,63.8,0.483,18.7,23.8,0.788,11.7,33.7,45.4,24.4,9.3,4.3,13.9,22.1,106.8,82,19855,39.1,87.3,0.448,8.4,24.1,0.347,30.7,63.2,0.487,17.9,24.0,0.743,9.8,33.7,43.6,22.8,7.6,4.7,14.2,21.9,104.5
