,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,31,Jarrett Allen,C,6-11,243,1998-04-21,US,3,Texas
1,24,Marques Bolden,C,6-10,249,1998-04-17,US,1,Duke
2,4,Quinn Cook,PG,6-1,180,1993-03-23,US,4,Duke
3,18,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,7,Saint Mary's
4,21,Damyean Dotson,SG,6-5,210,1994-05-06,US,3,"Oregon, Houston"
5,3,Andre Drummond,C,6-10,279,1993-08-10,US,8,UConn
6,1,Dante Exum,SG,6-5,214,1995-07-13,AU,5,
7,5,Yogi Ferrell,PG,6-0,178,1993-05-09,US,4,Indiana
8,10,Darius Garland,PG,6-1,192,2000-01-26,US,1,Vanderbilt
9,55,Isaiah Hartenstein,C,7-0,250,1998-05-05,US,2,
10,27,Mfiondu Kabengele,PF,6-9,250,1997-08-14,CA,1,Florida State
11,0,Kevin Love,PF,6-8,251,1988-09-07,US,12,UCLA
12,14,Thon Maker,C,7-0,221,1997-02-25,SS,4,
13,3,Jeremiah Martin,PG,6-3,185,1996-06-19,US,1,Memphis
14,6,JaVale McGee,C,7-0,270,1988-01-19,US,12,Nevada
15,22,Larry Nance Jr.,PF,6-7,245,1993-01-01,US,5,Wyoming
16,35,Isaac Okoro,SG,6-5,225,2001-01-26,US,R,Auburn
17,16,Cedi Osman,SF,6-7,230,1995-04-08,MK,3,
18,12,Taurean Prince,PF,6-7,218,1994-03-22,US,4,Baylor
19,2,Collin Sexton,SG,6-1,190,1999-01-04,US,2,Alabama
20,8,Lamar Stevens,PF,6-6,230,1997-07-09,US,R,Penn State
21,33,Brodric Thomas,SG,6-5,185,1997-01-28,US,R,Truman State University
22,17,Anderson Varejão,C,6-11,273,1982-09-28,BR,13,
23,32,Dean Wade,PF,6-9,228,1996-11-20,US,1,Kansas State
24,9,Dylan Windler,SF,6-6,196,1996-09-22,US,R,Belmont
