,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,23,Charles Bassey,C,6-11,235,2000-10-28,NG,R,Western Kentucky
1,16,Charlie Brown Jr.,SG,6-6,199,1997-02-02,US,2,Saint Joseph's
2,0,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,6,Kentucky
3,31,Seth Curry,SG,6-2,185,1990-08-23,US,7,"Liberty, Duke"
4,1,Andre Drummond,C,6-10,279,1993-08-10,US,9,UConn
5,21,Joel Embiid,C,7-0,280,1994-03-16,CM,5,Kansas
6,14,Danny Green,SF,6-6,215,1987-06-22,US,12,UNC
7,1,James Harden,PG,6-5,220,1989-08-26,US,12,Arizona State
8,12,Tobias Harris,PF,6-8,226,1992-07-15,US,10,Tennessee
9,50,Aaron Henry,SF,6-6,210,1999-08-30,US,R,Michigan State
10,7,Isaiah Joe,SG,6-4,165,1999-07-02,US,1,Arkansas
11,8,Tyler Johnson,PG,6-3,186,1992-05-07,US,7,Fresno State
12,9,DeAndre Jordan,C,6-11,265,1988-07-21,US,13,Texas A&M
13,17,Braxton Key,SF,6-8,230,1997-02-14,US,R,"Alabama, Virginia"
14,30,Furkan Korkmaz,SG,6-7,202,1997-07-24,TR,4,
15,0,Tyrese Maxey,PG,6-2,200,2000-11-04,US,1,Kentucky
16,8,Paul Millsap,C,6-7,257,1985-02-10,US,15,Louisiana Tech
17,18,Shake Milton,SG,6-5,205,1996-09-26,US,3,SMU
18,20,Georges Niang,PF,6-7,230,1993-06-17,US,5,Iowa State
19,5,Myles Powell,PG,6-2,195,1997-07-07,US,R,Seton Hall
20,44,Paul Reed,C,6-9,210,1999-06-14,US,1,DePaul
21,11,Jaden Springer,SG,6-4,204,2002-09-25,US,R,Tennessee
22,22,Matisse Thybulle,SG,6-5,201,1997-03-04,US,2,Washington
