,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,Al-Farouq Aminu,PF,6-8,220,1990-09-21,US,10,Wake Forest
1,50,Cole Anthony,PG,6-2,185,2000-05-15,US,R,UNC
2,8,Dwayne Bacon,SG,6-6,221,1995-08-30,US,3,Florida State
3,5,Mo Bamba,C,7-0,231,1998-05-12,US,2,Texas
4,24,Khem Birch,C,6-9,233,1992-09-28,CA,3,"Pitt, UNLV"
5,23,Jordan Bone,PG,6-2,180,1997-11-05,US,1,Tennessee
6,17,Ignas Brazdeikis,SF,6-6,221,1999-01-08,LT,1,Michigan
7,30,Devin Cannady,PG,6-2,183,1996-05-21,US,R,Princeton
8,34,Wendell Carter Jr.,C,6-10,270,1999-04-16,US,2,Duke
9,7,Michael Carter-Williams,SG,6-5,190,1991-10-10,US,7,Syracuse
10,12,Gary Clark,SF,6-6,225,1994-11-16,US,2,Cincinnati
11,11,James Ennis III,SF,6-6,215,1990-07-01,US,6,Cal State Long Beach
12,10,Evan Fournier,SF,6-7,205,1992-10-29,FR,8,
13,0,Robert Franks,PF,6-7,225,1996-12-18,US,R,Washington State
14,20,Markelle Fultz,PG,6-3,209,1998-05-29,US,3,Washington
15,0,Aaron Gordon,PF,6-8,235,1995-09-16,US,6,Arizona
16,45,Donta Hall,PF,6-9,232,1997-08-07,US,1,Alabama
17,13,R.J. Hampton,SG,6-4,175,2001-02-07,US,R,
18,14,Gary Harris,SG,6-4,210,1994-09-14,US,6,Michigan State
19,4,Karim Mané,PG,6-3,190,2000-05-16,SN,R,Vanier College
20,15,Frank Mason III,PG,5-11,190,1994-04-03,US,3,Kansas
21,3,Chuma Okeke,PF,6-6,229,1998-08-18,US,R,Auburn
22,22,Otto Porter Jr.,PF,6-8,198,1993-06-03,US,7,Georgetown
23,25,Chasson Randle,PG,6-2,185,1993-02-05,US,3,Stanford
24,31,Terrence Ross,SG,6-6,206,1991-02-05,US,8,Washington
25,12,Sindarius Thornwell,SG,6-4,215,1994-11-15,US,3,South Carolina
26,9,Nikola Vučević,C,6-10,260,1990-10-24,CH,9,USC
27,21,Moritz Wagner,C,6-11,245,1997-04-26,DE,2,Michigan
