,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,25,P.J. Washington,PF,6-7,230,1998-08-23,US,3,Kentucky
1,21,JT Thor,PF,6-10,205,2002-08-26,US,1,Auburn
2,4,Nick Richards,C,7-0,245,1997-11-29,JM,2,Kentucky
3,3,Terry Rozier,SG,6-1,190,1994-03-17,US,7,Louisville
4,8,Dennis Smith Jr.,PG,6-2,205,1997-11-25,US,5,NC State
5,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,12,Butler
6,12,Kelly Oubre Jr.,SF,6-7,203,1995-12-09,US,7,Kansas
7,7,Bryce McGowens,SG,6-7,179,2002-11-08,US,R,Nebraska
8,23,Kai Jones,C,6-11,218,2001-01-19,BS,1,Texas
9,9,Théo Maledon (TW),PG,6-4,175,2001-06-12,FR,2,
10,5,Mark Williams,C,7-1,241,2001-12-16,US,R,Duke
11,1,LaMelo Ball,PG,6-7,180,2001-08-22,US,2,
12,2,James Bouknight,SG,6-5,190,2000-09-18,US,1,UConn
13,10,Svi Mykhailiuk,SF,6-7,205,1997-06-10,UA,4,Kansas
14,11,Cody Martin,SF,6-5,205,1995-09-28,US,3,"NC State, Nevada"
15,14,Kobi Simmons,PG,6-5,166,1997-07-04,US,2,Arizona
16,22,Xavier Sneed (TW),SF,6-5,215,1997-12-21,US,1,Kansas State
