,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,45,Cole Aldrich,C,6-11,250,1988-10-31,US,5,Kansas
1,19,Jeff Ayres,C,6-9,240,1987-04-29,US,5,Arizona State
2,11,Jamal Crawford,SG,6-5,185,1980-03-20,US,15,Michigan
3,22,Branden Dawson,PF,6-6,225,1993-02-01,US,R,Michigan State
4,8,Jeff Green,SF,6-8,235,1986-08-28,US,7,Georgetown
5,32,Blake Griffin,PF,6-9,250,1989-03-16,US,5,Oklahoma
6,33,Wesley Johnson,SF,6-7,215,1987-07-11,US,5,"Iowa State, Syracuse"
7,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,7,Texas A&M
8,12,Luc Mbah a Moute,PF,6-8,230,1986-09-09,CM,7,UCLA
9,3,Chris Paul,PG,6-0,175,1985-05-06,US,10,Wake Forest
10,34,Paul Pierce,SF,6-7,235,1977-10-13,US,17,Kansas
11,9,Pablo Prigioni,PG,6-3,185,1977-05-17,AR,3,
12,4,J.J. Redick,SG,6-3,200,1984-06-24,US,9,Duke
13,25,Austin Rivers,SG,6-4,200,1992-08-01,US,3,Duke
14,5,Josh Smith,PF,6-9,225,1985-12-05,US,11,
15,1,Lance Stephenson,SF,6-6,230,1990-09-05,US,5,Cincinnati
16,35,Alex Stepheson,PF,6-10,270,1987-08-07,US,R,"UNC, USC"
17,30,C.J. Wilcox,SG,6-5,195,1990-12-30,US,1,Washington
