,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,55,Isaiah Hartenstein,C,7-0,250,1998-05-05,US,4,
1,5,Immanuel Quickley,PG,6-3,190,1999-06-17,US,2,Kentucky
2,30,Julius Randle,PF,6-8,250,1994-11-29,US,8,Kentucky
3,9,RJ Barrett,SG,6-6,214,2000-06-14,CA,3,Duke
4,6,Quentin Grimes,SG,6-5,205,2000-05-08,US,1,"Kansas, Houston"
5,11,Jalen Brunson,PG,6-1,190,1996-08-31,US,4,Villanova
6,1,Obi Toppin,PF,6-9,220,1998-03-04,US,2,Dayton
7,2,Miles McBride,PG,6-2,200,2000-09-08,US,1,West Virginia
8,23,Mitchell Robinson,C,7-0,240,1998-04-01,US,4,Western Kentucky
9,45,Jericho Sims,C,6-10,245,1998-10-20,US,1,Texas
10,13,Evan Fournier,SG,6-7,205,1992-10-29,FR,10,
11,4,Derrick Rose,PG,6-3,200,1988-10-04,US,13,Memphis
12,3,Josh Hart,SG,6-5,215,1995-03-06,US,5,Villanova
13,"0, 3",Trevor Keels (TW),SG,6-5,221,2003-08-26,US,R,Duke
14,,Duane Washington Jr. (TW),SG,6-3,210,2000-03-24,DE,1,Ohio State
15,,DaQuan Jeffries,SG,6-5,230,1997-08-30,US,3,"Oral Roberts, Tulsa"
16,,Isaiah Roby,PF,6-8,230,1998-02-03,US,3,Nebraska
