,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
0,LAL_1990,28.9,63.0,19.0,58,24,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,0.479,12.8,68.5,0.219,,82,19855,43.1,88.0,0.49,3.9,10.6,0.367,39.2,77.4,0.507,23.9,30.3,0.787,13.8,30.9,44.6,28.0,8.2,5.6,15.4,21.8,114.0,82,19805,40.7,87.7,0.464,2.0,6.7,0.293,38.8,81.1,0.478,20.0,27.0,0.741,14.1,29.5,43.5,24.1,9.5,4.7,17.1,21.8,103.4
1,PHO_1990,26.7,54.0,28.0,58,24,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.478,12.8,68.8,0.209,,82,19805,43.2,88.2,0.489,2.4,6.8,0.348,40.8,81.4,0.501,24.8,31.5,0.788,13.9,30.2,44.2,24.3,8.6,4.6,15.2,21.3,113.5,82,19805,39.1,87.4,0.447,2.4,7.2,0.333,36.7,80.3,0.457,22.9,30.1,0.762,13.4,29.3,42.6,22.7,7.8,3.9,16.0,26.6,103.5
2,DET_1990,29.5,59.0,23.0,57,25,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.323,0.078,0.537,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.262,,82,19855,42.6,85.7,0.496,2.1,6.5,0.324,40.4,79.2,0.511,25.9,32.6,0.795,12.6,31.8,44.5,25.3,8.0,6.0,15.3,21.9,113.1,82,19730,40.4,87.6,0.461,2.9,7.7,0.37,37.5,79.9,0.47,20.5,26.8,0.767,13.9,27.7,41.6,24.3,9.4,5.1,17.5,23.7,104.2
3,POR_1990,26.7,59.0,23.0,57,25,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.362,0.075,0.535,0.486,13.4,36.5,0.269,0.479,15.2,70.8,0.265,,82,19730,43.4,89.1,0.487,1.6,5.2,0.302,41.8,83.9,0.498,24.7,32.3,0.764,16.2,27.8,43.9,23.1,9.1,4.5,16.1,23.7,113.0,82,19880,39.5,85.3,0.464,2.7,8.1,0.331,36.9,77.2,0.478,22.6,29.5,0.767,12.5,27.8,40.3,23.9,7.9,5.1,17.6,24.6,104.4
4,PHI_1990,27.4,53.0,29.0,54,28,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.357,0.077,0.556,0.502,12.9,32.0,0.281,0.495,13.3,68.4,0.223,,82,19830,44.2,88.7,0.498,3.1,8.4,0.374,41.1,80.3,0.511,20.8,26.8,0.778,13.5,28.5,42.0,27.2,10.2,4.9,15.6,23.8,112.3,82,19830,39.9,87.5,0.455,2.2,7.1,0.309,37.7,80.4,0.468,23.5,30.9,0.761,13.9,27.8,41.7,23.7,9.3,5.7,15.6,24.1,105.4
5,UTA_1990,27.6,55.0,27.0,54,28,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.377,0.096,0.57,0.522,15.5,30.1,0.284,0.468,13.4,69.5,0.268,,82,19705,44.2,88.7,0.498,1.3,5.0,0.262,42.9,83.7,0.513,22.2,26.7,0.832,13.2,33.6,46.8,30.1,6.7,5.6,15.6,21.3,112.0,82,19855,42.4,91.1,0.465,2.4,6.8,0.355,40.0,84.3,0.474,19.0,26.0,0.733,14.4,28.0,42.5,25.5,8.1,4.7,15.1,25.8,106.2
6,BOS_1990,30.2,52.0,30.0,51,31,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,0.477,10.8,72.1,0.223,14890.0,82,19880,42.1,84.7,0.497,3.7,9.6,0.382,38.4,75.1,0.511,23.7,29.1,0.816,11.7,29.7,41.4,25.2,6.9,4.4,16.7,24.5,111.5,82,19805,41.3,84.3,0.489,1.9,5.9,0.317,39.4,78.4,0.502,22.3,28.9,0.77,11.7,32.7,44.5,23.8,7.0,5.3,17.4,22.0,106.7
7,SAS_1990,26.4,56.0,26.0,50,32,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.362,0.032,0.537,0.488,14.7,34.2,0.27,0.477,15.0,68.7,0.235,,82,19905,43.8,91.6,0.479,2.9,8.2,0.355,40.9,83.4,0.491,20.3,27.4,0.741,16.7,28.5,45.3,23.7,8.9,4.2,16.9,26.1,110.9,82,19855,42.4,91.0,0.467,2.2,6.5,0.337,40.3,84.4,0.477,19.9,26.5,0.75,14.2,28.2,42.3,25.2,8.4,5.3,15.1,24.0,107.0
8,CHI_1990,26.1,55.0,27.0,50,32,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.302,0.094,0.559,0.516,13.4,31.9,0.235,0.508,15.2,68.1,0.262,,82,19880,42.2,89.1,0.473,2.2,6.7,0.336,39.9,82.4,0.484,24.0,32.3,0.743,16.0,30.1,46.1,24.6,8.8,4.3,16.0,24.2,110.5,82,19880,43.4,90.7,0.479,2.0,6.4,0.312,41.5,84.3,0.492,18.4,24.1,0.761,14.4,31.2,45.6,27.2,8.6,4.8,16.4,24.1,107.2
9,HOU_1990,27.9,41.0,41.0,45,37,1.46,0.24,1.71,104.8,103.4,1.4,101.2,0.313,0.068,0.531,0.491,15.5,33.1,0.225,0.475,14.7,69.2,0.228,,82,19830,41.9,83.0,0.505,2.8,7.9,0.359,39.1,75.1,0.521,23.6,31.3,0.754,12.0,31.5,43.5,27.9,8.5,6.2,17.8,25.6,110.3,82,19855,42.1,89.7,0.469,2.2,7.5,0.298,39.8,82.2,0.484,20.8,27.6,0.753,14.6,30.7,45.3,25.1,8.3,5.0,15.8,23.4,107.2
