,TEAM,PLAYOFF_WINS
0,CHI_1992,15.0
1,POR_1992,13.0
2,CLE_1992,9.0
3,PHO_1992,4.0
4,NYK_1992,6.0
5,GSW_1992,1.0
6,UTA_1992,9.0
7,BOS_1992,6.0
8,SEA_1992,4.0
9,LAC_1992,2.0
10,IND_1992,0.0
11,NJN_1992,1.0
12,DET_1992,2.0
13,SAS_1992,0.0
14,LAL_1992,1.0
15,MIA_1992,0.0
