,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,7,Killian Hayes,PG,6-5,195,2001-07-27,US,2,
1,23,Jaden Ivey,SG,6-4,195,2002-02-13,US,R,Purdue
2,0,Jalen Duren,C,6-10,250,2003-11-18,US,R,Memphis
3,18,Cory Joseph,PG,6-3,200,1991-08-20,CA,11,Texas
4,44,Bojan Bogdanović,PF,6-7,226,1989-04-18,BA,8,
5,6,Hamidou Diallo,SG,6-5,202,1998-07-31,US,4,Kentucky
6,12,Isaiah Livers,PF,6-7,230,1998-07-28,US,1,Michigan
7,5,Alec Burks,SG,6-6,214,1991-07-20,US,11,Colorado
8,28,Isaiah Stewart,C,6-8,250,2001-05-22,US,2,Washington
9,35,Marvin Bagley III,C,6-11,235,1999-03-14,US,4,Duke
10,17,Rodney McGruder,SG,6-4,205,1991-07-29,US,6,Kansas State
11,13,James Wiseman,C,7-0,240,2001-03-31,US,1,Memphis
12,14,R.J. Hampton,PG,6-4,175,2001-02-07,US,2,
13,97,Eugene Omoruyi,SF,6-7,244,1997-02-14,NG,1,"Rutgers University, Oregon"
14,8,Jared Rhoden (TW),SG,6-6,210,1999-08-27,US,R,Seton Hall
15,2,Cade Cunningham,PG,6-6,220,2001-09-25,US,1,Oklahoma State
16,27,Buddy Boeheim (TW),PG,6-6,205,1999-11-11,US,R,Syracuse
