,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Will Barton,SG,6-6,181,1991-01-06,US,9,Memphis
1,10,Bol Bol,PF,7-2,220,1999-11-16,SD,2,Oregon
2,7,Facundo Campazzo,PG,5-10,195,1991-03-23,AR,1,
3,31,Vlatko Čančar,PF,6-8,236,1997-04-10,SI,2,
4,21,Petr Cornelie,PF,6-11,220,1995-07-26,FR,R,
5,4,DeMarcus Cousins,C,6-10,270,1990-08-13,US,10,Kentucky
6,35,PJ Dozier,SG,6-6,205,1996-10-25,US,4,South Carolina
7,10,James Ennis III,SF,6-6,215,1990-07-01,US,7,Cal State Long Beach
8,6,Bryn Forbes,SG,6-2,205,1993-07-23,US,5,Michigan State
9,50,Aaron Gordon,PF,6-8,235,1995-09-16,US,7,Arizona
10,0,JaMychal Green,PF,6-8,227,1990-06-21,US,7,Alabama
11,32,Jeff Green,PF,6-8,235,1986-08-28,US,13,Georgetown
12,0,Markus Howard,SG,5-10,175,1999-03-03,US,1,Marquette
13,3,Bones Hyland,SG,6-3,173,2000-09-14,US,R,VCU
14,15,Nikola Jokić,C,6-11,284,1995-02-19,RS,6,
15,23,Carlik Jones,PG,6-1,185,1997-12-23,US,R,"Radford, Louisville"
16,11,Monte Morris,PG,6-2,183,1995-06-27,US,4,Iowa State
17,22,Zeke Nnaji,PF,6-9,240,2001-01-09,US,1,Arizona
18,1,Michael Porter Jr.,SF,6-10,218,1998-06-29,US,2,Missouri
19,9,Davon Reed,SG,6-5,208,1995-06-11,US,2,Miami (FL)
20,25,Austin Rivers,SG,6-4,200,1992-08-01,US,9,Duke
21,6,Rayjon Tucker,SG,6-3,209,1997-09-24,US,2,"Florida Gulf Coast, Little Rock"
