,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,2,Lonzo Ball,PG,6-6,190,1997-10-27,US,4,UCLA
1,20,Jordan Bell,C,6-8,216,1995-01-07,US,4,Oregon
2,13,Tony Bradley,C,6-10,248,1998-01-08,US,4,UNC
3,7,Troy Brown Jr.,SF,6-6,215,1999-07-28,US,3,Oregon
4,6,Alex Caruso,SG,6-4,186,1994-02-28,US,4,Texas A&M
5,25,Tyler Cook,PF,6-8,255,1997-09-23,US,2,Iowa
6,11,DeMar DeRozan,PF,6-6,220,1989-08-07,US,12,USC
7,12,Ayo Dosunmu,SG,6-5,200,2000-01-17,US,R,Illinois
8,3,Devon Dotson,PG,6-2,185,1999-08-02,US,1,Kansas
9,24,Javonte Green,SF,6-4,205,1993-07-23,US,2,Radford
10,14,Malcolm Hill,SF,6-6,220,1995-10-26,US,R,Illinois
11,22,Alize Johnson,PF,6-7,212,1996-04-22,US,3,Missouri State
12,5,Derrick Jones Jr.,PF,6-5,210,1997-02-15,US,5,UNLV
13,8,Zach LaVine,SG,6-5,200,1995-03-10,US,7,UCLA
14,0,Mac McClung,PG,6-2,185,1999-01-06,US,R,"Georgetown, Texas Tech"
15,28,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,4,Green Bay
16,19,Marko Simonovic,C,6-11,216,1999-10-15,ME,R,
17,21,Matt Thomas,SG,6-4,190,1994-08-04,US,2,Iowa State
18,3,Tristan Thompson,PF,6-9,254,1991-03-13,CA,10,Texas
19,9,Nikola Vučević,C,6-10,260,1990-10-24,CH,10,USC
20,0,Coby White,PG,6-5,195,2000-02-16,US,2,UNC
21,44,Patrick Williams,PF,6-7,215,2001-08-26,US,1,Florida State
