,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,25,Reggie Bullock,SF,6-6,205,1991-03-16,US,9,UNC
1,7,Dwight Powell,C,6-10,240,1991-07-20,CA,8,Stanford
2,11,Tim Hardaway Jr.,SG,6-5,205,1992-03-16,US,9,Michigan
3,35,Christian Wood,C,6-10,214,1995-09-27,US,6,UNLV
4,77,Luka Dončić,PG,6-7,230,1999-02-28,SI,4,
5,8,Josh Green,SG,6-5,200,2000-11-16,AU,2,Arizona
6,3,Jaden Hardy,SG,6-4,198,2002-07-05,US,R,
7,21,Frank Ntilikina,PG,6-4,200,1998-07-28,BE,5,
8,44,Dāvis Bertāns,PF,6-10,225,1992-11-12,LV,6,
9,0,JaVale McGee,C,7-0,270,1988-01-19,US,14,Nevada
10,1,Theo Pinson,SG,6-5,212,1995-11-05,US,4,UNC
11,42,Maxi Kleber,C,6-10,240,1992-01-29,DE,5,
12,23,McKinley Wright IV (TW),PG,6-0,196,1998-10-25,US,1,Colorado
13,2,Kyrie Irving,PG,6-2,195,1992-03-23,AU,11,Duke
14,0,Justin Holiday,SG,6-6,180,1989-04-05,US,9,Washington
15,9,A.J. Lawson (TW),SG,6-6,179,2000-07-15,CA,R,South Carolina
16,13,Markieff Morris,PF,6-9,245,1989-09-02,US,11,Kansas
