,TEAM,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_G,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
0,LAL_1998,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,,82,19780,40.7,83.2,0.49,3.4,9.1,0.372,37.3,74.1,0.504,27.8,36.0,0.773,13.1,32.7,45.8,28.2,8.8,5.6,17.1,26.7,112.7,82,19830,36.2,83.7,0.433,4.6,13.4,0.344,31.6,70.3,0.45,22.1,29.3,0.755,12.8,30.0,42.8,24.1,9.5,6.1,19.4,25.6,99.1
1,SEA_1998,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,,82,19830,40.7,84.5,0.481,6.4,18.3,0.351,34.3,66.2,0.517,24.1,35.5,0.679,14.0,32.0,45.9,26.0,9.5,7.2,16.2,24.0,111.9,82,19830,37.5,91.1,0.411,4.6,14.1,0.328,32.8,77.0,0.426,19.8,26.8,0.74,13.9,30.6,44.5,21.3,10.0,5.2,14.3,25.3,99.4
2,CHI_1998,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,,82,19755,41.3,87.4,0.473,8.4,21.2,0.396,32.9,66.1,0.497,20.6,28.5,0.721,12.6,30.1,42.7,26.9,10.9,5.1,15.5,24.5,111.6,82,19855,38.0,88.0,0.431,4.5,13.9,0.322,33.5,74.2,0.452,19.4,26.6,0.729,13.8,30.4,44.2,21.7,8.9,4.8,17.2,24.1,99.8
3,UTA_1998,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,0.471,13.5,71.0,0.271,,82,19830,40.2,85.7,0.469,5.5,14.2,0.39,34.7,71.5,0.485,22.5,29.4,0.764,12.0,32.3,44.4,26.0,8.9,5.1,16.1,25.6,108.4,82,19830,36.0,84.1,0.428,4.5,14.3,0.317,31.5,69.8,0.451,23.7,31.6,0.75,11.7,32.1,43.8,21.7,9.0,4.3,16.9,23.4,100.3
4,IND_1998,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,,82,19880,40.5,91.9,0.441,4.1,12.4,0.331,36.4,79.4,0.458,23.2,31.2,0.744,17.8,28.3,46.2,22.3,10.3,4.2,15.6,25.4,108.3,82,19830,38.4,88.8,0.432,3.8,11.9,0.316,34.6,76.9,0.45,21.0,28.9,0.728,15.3,31.0,46.4,21.9,8.9,5.0,17.0,25.4,101.6
5,PHO_1998,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,,82,19880,39.8,87.5,0.455,4.6,14.0,0.332,35.1,73.5,0.478,24.1,31.9,0.756,15.2,33.3,48.5,21.6,9.0,6.8,16.7,23.0,108.2,82,19955,38.4,87.1,0.442,5.2,14.4,0.361,33.3,72.7,0.458,19.7,27.0,0.732,13.8,30.8,44.6,23.7,9.5,4.2,17.9,23.3,101.8
6,MIA_1998,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,,82,19930,41.1,89.0,0.461,3.9,11.4,0.347,37.1,77.7,0.478,21.8,29.3,0.743,13.8,31.6,45.4,26.9,8.3,5.6,14.8,24.5,107.8,82,19755,37.6,87.8,0.428,4.2,12.7,0.331,33.4,75.1,0.445,22.5,30.3,0.744,14.6,30.8,45.5,22.5,8.8,5.1,16.8,25.6,102.0
7,SAS_1998,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,,82,19855,41.6,92.4,0.451,4.2,13.1,0.323,37.4,79.3,0.471,20.3,27.3,0.743,16.9,33.1,50.0,26.5,9.5,4.8,16.0,23.0,107.7,82,19830,37.8,87.7,0.431,5.0,14.6,0.343,32.8,73.1,0.449,21.9,30.3,0.722,13.6,29.6,43.2,23.7,10.4,6.0,15.6,24.5,102.4
8,ATL_1998,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,,82,19830,39.2,86.6,0.452,7.6,22.2,0.343,31.6,64.4,0.49,21.7,28.2,0.771,13.1,31.3,44.4,23.9,9.1,3.9,17.3,22.0,107.7,82,19955,38.7,86.9,0.445,4.9,15.0,0.33,33.8,71.9,0.469,21.1,28.3,0.746,13.5,31.8,45.3,23.9,8.8,5.2,17.2,25.5,103.5
9,CLE_1998,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,,82,19755,39.4,87.4,0.45,7.6,21.3,0.355,31.8,66.1,0.481,21.3,28.8,0.739,14.2,33.4,47.6,24.3,9.2,5.9,16.9,27.4,107.6,82,19755,39.2,87.8,0.446,5.6,17.4,0.324,33.5,70.4,0.476,19.6,27.1,0.724,15.4,31.3,46.7,24.7,8.7,5.5,18.9,24.7,103.6
10,NYK_1998,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,,82,19780,40.3,86.1,0.468,4.7,12.3,0.383,35.6,73.8,0.482,22.3,29.7,0.751,13.4,31.8,45.1,26.3,9.4,4.2,16.9,23.8,107.5,82,19830,38.6,88.0,0.439,4.9,13.9,0.355,33.7,74.1,0.455,21.6,29.5,0.732,14.5,30.3,44.8,23.8,8.5,5.5,16.6,27.8,103.7
