,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,24,Buddy Hield,SF,6-4,220,1992-12-17,BS,6,Oklahoma
1,0,Bennedict Mathurin,SF,6-6,210,2002-06-19,CA,R,Arizona
2,2,Andrew Nembhard,SG,6-5,193,2000-01-16,CA,R,"Florida, Gonzaga"
3,9,T.J. McConnell,PG,6-1,190,1992-03-25,US,7,"Duquesne, Arizona"
4,23,Aaron Nesmith,SF,6-5,215,1999-10-16,US,2,Vanderbilt
5,25,Jalen Smith,PF,6-10,215,2000-03-16,US,2,Maryland
6,12,Oshae Brissett,SF,6-7,210,1998-06-20,CA,3,Syracuse
7,22,Isaiah Jackson,C,6-10,206,2002-01-10,US,1,Kentucky
8,33,Myles Turner,C,6-11,250,1996-03-24,US,7,Texas
9,0,Tyrese Haliburton,PG,6-5,185,2000-02-29,US,2,Iowa State
10,3,Chris Duarte,SF,6-6,190,1997-06-13,CA,1,Oregon
11,13,Jordan Nwora,SF,6-8,225,1998-09-09,US,2,Louisville
12,16,James Johnson,PF,6-7,240,1987-02-20,US,13,Wake Forest
13,7,George Hill,PG,6-4,188,1986-05-04,US,14,IUPUI
14,27,Daniel Theis,C,6-8,245,1992-04-04,DE,5,
15,10,Kendall Brown (TW),SG,6-8,205,2003-05-11,US,R,Baylor
16,32,Gabe York (TW),SG,6-3,185,1993-08-02,US,1,Arizona
