,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,51,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,4,Villanova
1,9,RJ Barrett,SF,6-6,214,2000-06-14,CA,2,Duke
2,18,Alec Burks,SG,6-6,214,1991-07-20,US,10,Colorado
3,21,Damyean Dotson,SG,6-5,210,1994-05-06,US,4,"Oregon, Houston"
4,13,Evan Fournier,SG,6-7,205,1992-10-29,FR,9,
5,67,Taj Gibson,C,6-9,232,1985-06-24,US,12,USC
6,6,Quentin Grimes,SG,6-5,205,2000-05-08,US,R,"Kansas, Houston"
7,16,Tyler Hall,SG,6-5,209,1997-03-25,US,R,Montana State
8,44,Danuel House Jr.,SF,6-6,220,1993-06-07,US,5,Texas A&M
9,16,Feron Hunt,SF,6-8,195,1999-07-05,US,R,SMU
10,20,Kevin Knox,SF,6-7,215,1999-08-11,US,3,Kentucky
11,2,Miles McBride,PG,6-2,200,2000-09-08,US,R,West Virginia
12,31,Matt Mooney,SG,6-3,199,1997-02-07,US,1,"Air Force, South Dakota, Texas Tech"
13,3,Nerlens Noel,C,6-11,220,1994-04-10,US,7,Kentucky
14,5,Immanuel Quickley,PG,6-3,190,1999-06-17,US,1,Kentucky
15,30,Julius Randle,PF,6-8,250,1994-11-29,US,7,Kentucky
16,21,Cam Reddish,SF,6-8,218,1999-09-01,US,2,Duke
17,23,Mitchell Robinson,C,7-0,240,1998-04-01,US,3,Western Kentucky
18,4,Derrick Rose,PG,6-3,200,1988-10-04,US,12,Memphis
19,11,Wayne Selden,SG,6-5,230,1994-09-30,US,3,Kansas
20,45,Jericho Sims,PF,6-10,245,1998-10-20,US,R,Texas
21,1,Obi Toppin,PF,6-9,220,1998-03-04,US,1,Dayton
22,8,Kemba Walker,PG,6-0,184,1990-05-08,US,10,UConn
