,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,25.0,Trey Murphy III,SF,6-9,206,2000-06-18,US,1,"Rice University, Virginia"
1,17.0,Jonas Valančiūnas,C,6-11,265,1992-05-06,LT,10,
2,8.0,Naji Marshall,SF,6-7,220,1998-01-24,US,2,Xavier
3,3.0,CJ McCollum,SG,6-3,190,1991-09-19,US,9,Lehigh
4,5.0,Herbert Jones,SF,6-8,210,1998-10-06,US,1,Alabama
5,22.0,Larry Nance Jr.,PF,6-7,245,1993-01-01,US,7,Wyoming
6,15.0,Jose Alvarado,PG,6-0,179,1998-04-12,US,1,Georgia Tech
7,11.0,Dyson Daniels,PG,6-8,199,2003-03-17,AU,R,
8,10.0,Jaxson Hayes,C,6-11,220,2000-05-23,US,3,Texas
9,14.0,Brandon Ingram,SF,6-8,190,1997-09-02,US,6,Duke
10,9.0,Willy Hernangómez,C,6-11,250,1994-05-27,ES,6,
11,1.0,Zion Williamson,PF,6-6,284,2000-07-06,US,2,Duke
12,13.0,Kira Lewis Jr.,PG,6-1,170,2001-04-06,US,2,Alabama
13,41.0,Garrett Temple,SG,6-5,195,1986-05-08,US,12,LSU
14,2.0,Josh Richardson,SG,6-5,200,1993-09-15,US,7,Tennessee
15,0.0,Dereon Seabron (TW),SG,6-7,180,2000-05-26,US,R,NC State
16,,E.J. Liddell (TW),PF,6-7,240,2000-12-18,US,R,Ohio State
