,TEAM,PLAYOFF_WINS
0,CLE_2009,10.0
1,DEN_2009,10.0
2,LAL_2009,16.0
3,ORL_2009,13.0
4,MIA_2009,3.0
5,BOS_2009,7.0
6,DAL_2009,5.0
7,HOU_2009,7.0
8,CHI_2009,3.0
9,POR_2009,2.0
10,SAS_2009,1.0
11,ATL_2009,4.0
12,PHI_2009,2.0
13,UTA_2009,1.0
14,DET_2009,0.0
15,NOH_2009,1.0
